keys,type,zh_CN
PLAY,~,游玩
COLLECTION,~,收藏
MUSIC,~,音乐
Back,~,返回
Battle!,~,开战！
Create Deck,~,创建卡组
Filters,~,筛选
Clear filters,~,清除筛选
Search,~,搜索
Army,~,军队
Game mode,~,游戏模式
Select,~,选择
Done,~,完成
Warlord,~,督军
Defensive,~,防御
Classic,~,经典
Skirmish,~,冲突
Draft,~,选秀
Tutorial,~,教程
Cancel,~,取消
Select deck to play,~,选择卡组开始游戏
Change Deck,~,更换卡组
Card / Energy cost,~,卡牌 / 能量费用
Your cosmetics collection,~,你的装饰收藏
Cards,~,卡牌
Cosmetics,~,装饰
Styles,~,风格
Lore,~,背景故事
Energy,~,能量
Health,~,生命
Melee,~,近战
Cost,~,费用
END TURN,~,结束回合
Waiting for enemy,~,等待对手
Searching,~,匹配中
If no opponent is found in a few seconds, you will be matched with a bot,~,如果没有对手,稍后将匹配机器人
%d / %d,~,%d / %d
%d Trophies Achieved!,~,达成 %d 奖杯!
%d cards,~,%d 张卡
%d warlords available,~,可用督军 %d
%dh %dm,~,%d小时 %d分钟
%s Pack,~,%s 卡包
%s cemetery (%d),~,%s 墓地 (%d)
%s — Activate for %d %s?,~,%s — 激活花费 %d %s?
%s — Choose one:,~,%s — 选择其一:
-- Defensive --,~,-- 防御卡 --
-- Warlord --,~,-- 督军 --
0 available,~,可用 0
5d 20h 15m,~,5天 20小时 15分
8+,~,8+
Alliance,~,联盟
Alliance featured trophy,~,联盟精选奖杯
Alliance: none (offline build),~,联盟: 无 (离线版)
Already Owned,~,已拥有
Already at max level,~,已达最高等级
Auto Zoom,~,自动缩放
Auto-deployed when you go second,~,后手自动部署
BATTLE FOR WARPFORGE,~,为 Warpforge 而战
Battle Settings,~,战斗设置
Beginner,~,新手
Booster Pack,~,卡包
Border: %s,~,边框: %s
Both warlords fell simultaneously,~,双方督军同时倒下
Buy,~,购买
Card Sources,~,卡牌来源
Card text,~,卡牌文字
Cards / Cost,~,卡牌 / 费用
Cards left: %d,~,剩余卡牌: %d
Cards left: %d/%d,~,剩余卡牌: %d/%d
Cards per pack: 5\nGuaranteed Legendary within 200 packs\nDrawing a Legendary resets the counter\nRarity: Common 60% / Rare 25% / Epic 10% / Legendary 5%,~,每包 5 张\n200 包内必得传奇\n抽到传奇后计数重置\n稀有度: 普通 60% / 稀有 25% / 史诗 10% / 传奇 5%
Cemetery,~,墓地
Chat - Welcome to Warpforge,~,聊天 - 欢迎来到 Warpforge
Choose a card,~,选择一张卡牌
Choose cards to replace in first hand,~,选择首局替换的卡牌
Claim,~,领取
Claimed,~,已领取
Click to continue,~,点击继续
Collect,~,收集
Collect reward,~,领取奖励
Competitive,~,竞技
Complete!,~,完成!
Confirm,~,确认
Continue,~,继续
Crafted! Copies: %d,~,制作成功! 副本: %d
Create a copy of this card,~,制作此卡副本
Create\nNew Deck,~,创建\n新卡组
Current Title: %s,~,当前称号: %s
Current streak:,~,当前连胜:
Daily Streak,~,每日连胜
Deck already has a Warlord,~,卡组已设督军
Deck imported: %s,~,卡组已导入: %s
Deck is empty,~,卡组为空
"Deck needs %d cards (%s), currently %d",~,"卡组需要 %d 张卡 (%s),当前 %d"
Defensive card (%s),~,防御卡 (%s)
Enemy,~,敌方
Enemy: %s,~,敌方阵营: %s
Energy Cost,~,能量费用
Enter Player Name,~,输入玩家名
Enter alliance name...,~,输入联盟名...
Enter player name,~,输入玩家名
Enter text...,~,输入文字...
Exit Game,~,退出游戏
Featured: %s,~,精选: %s
Game mode: Classic,~,游戏模式: 经典
Game mode: Tournament,~,游戏模式: 锦标赛
Game mode: Two Sides Event,~,游戏模式: 阵营对决活动
General,~,综合
Get skulls to progress in the event and earn rewards for your Faction,~,收集骷髅推进活动并为阵营赢取奖励
Give us your feedback!,~,给我们反馈!
Inbox,~,收件箱
Info,~,信息
Information,~,信息
Insufficient Space,~,卡组空间不足
Insufficient tokens!,~,代币不足!
"Invalid format: cards must be [{name,count}]",~,"格式无效: 卡必须为 [{name,count}]"
Invalid format: paste a JSON deck code,~,格式无效: 请粘贴 JSON 卡组代码
It takes less than two minutes to help us make the game better!,~,只需不到两分钟即可帮助我们改进游戏!
Leaderboard,~,排行榜
Legendary Booster Pack,~,传奇卡包
Legendary Points: %d,~,传奇点数: %d
Level %d/%d,~,等级 %d/%d
Loading...,~,加载中...
Locked,~,未解锁
"Log in daily and keep your streak going to unlock bigger rewards. Skip a day, and your streak resets.",~,每日登录保持连胜以解锁更大奖励。中断一天则连胜重置。
Maximum card tier reached,~,已达最高卡牌等级
More Rewards In,~,更多奖励于
Mute opponent,~,屏蔽对手
Next style,~,下一个样式
No PvP leaderboard in offline build,~,离线版无 PvP 排行榜
No alternate art in offline build,~,离线版无异画
No voice for this card,~,此卡无语音
No warlords available,~,无可用督军
Not enough Wildcards: need 1 %s Wildcard,~,通配符不足: 需要 1 张%s通配符
Not enough gold: need %d,~,金币不足: 需要 %d
Open Daily Rewards,~,打开每日奖励
Original style purchased (-%d gold),~,原版样式已购买 (-%d 金币)
Owned,~,已拥有
Owned only,~,仅显示已拥有
Pack %d/%d,~,卡包 %d/%d
Packs opened since last Legendary: %d,~,距上次传奇已开包: %d
Paste a deck code,~,粘贴卡组代码
Paste your deck,~,粘贴你的卡组
Please share your thoughts before entering the battlefield.\nHow would you rate the game so far? ,~,进入战场前请分享你的想法。\n你如何评价目前的游戏? 
Points: %d,~,点数: %d
Previous style,~,上一个样式
Pro,~,专业
Progression,~,进度
Ranked,~,排位
Rarity,~,稀有度
Redeem Code,~,兑换码
Rerolls: %d,~,重掷: %d
Reset,~,重置
Reset Streak,~,重置连胜
STREAK BROKEN,~,连胜中断
Save More!,~,积攒更多!
Select Alliance Badge,~,选择联盟徽章
Select Language,~,选择语言
"Select your Faction. Win battles during the Event to collect Skulls and score points for your Faction,\nclaim Crate Rewards at milestones!",~,"选择你的阵营。在活动期间赢得战斗收集骷髅并为阵营得分,\n在里程碑领取宝箱奖励!"
Set as Warlord,~,设为督军
Shift to scroll,~,滚动查看更多
Skip Tutorial,~,跳过教程
Skulls %d : %d    Turn %d    Warlord HP %d : %d,~,骷髅 %d : %d    回合 %d    督军 HP %d : %d
Skulls: %d,~,骷髅: %d
Starts in:,~,开始于:
Stratagems %d,~,计策 %d
Streak lost: %d,~,连胜损失: %d
Style,~,风格
Submit,~,提交
TOP PLAYERS,~,顶尖玩家
Tap to continue,~,点击继续
Tap to edit deck name,~,点击编辑卡组名
The Space Marine event has finished!,~,星际战士活动已结束!
The Vault,~,金库
There are no alternate artworks in your collection,~,没有可用的异画卡
There are no cards in your collection for the selected filte,~,没有符合当前筛选的卡牌
There are no cards in your collection for the selected filters,~,没有符合当前筛选的卡牌
There are no deck in your collection for the selected filter,~,没有符合当前筛选的卡组
This will consume a wildcard,~,将消耗一张通配符
Ticket %d,~,门票 %d
Troops %d,~,部队 %d
Type,~,类型
Type message,~,输入消息
Unlock,~,解锁
Upgrade,~,升级
Upgrade this card to level %d,~,将本卡升级至 %d 级
Upgrade this card\nto level %d,~,将本卡升级\n至 %d 级
Victory!,~,胜利!
Voice file missing,~,语音文件缺失
Warlord: ,~,督军: 
Warlord: %s,~,督军: %s
WebShop unavailable in offline build,~,离线版无网络商店
Welcome to Warpforge!,~,欢迎来到 Warpforge!
Where to get cards,~,卡牌获取途径
Will get: +%d,~,获得: +%d
Will get: +350,~,获得: +350
You can only have one Warlord,~,只能有一名督军
You go second,~,你后手
You have collected all the available Special Items,~,你已收集所有可用特殊物品
You need a deck with at least %d cards to play this mode,~,需要至少 %d 张卡的卡组才能玩此模式
Your Team: %s,~,你的阵营: %s
x%d,~,×%d
× %d,~,× %d
×%d,~,×%d
Deck,~,卡组
%s ｜ ATK %d | HP %d/%d | ARM %d,~,%s ｜ 攻 %d | 血 %d/%d | 甲 %d
%s: single-player placeholder for the original %s tab.,~,%s：单机占位页，原版为 %s 页签。
(empty),~,（空）
Account,~,账户
Add Friend,~,添加好友
"After 200 packs without a Legendary, the next pack is guaranteed Legendary",~,连续 200 包未出传说，下一包必出传说
Alliance Score,~,联盟分数
Alliance channel,~,联盟频道
Audio,~,音频
Available in 64h,~,64 小时后开放
Available rewards,~,可用奖励
Battle,~,对战
Battle Log,~,战斗日志
Campaign: win battles to advance and claim rewards,~,战役：赢得战斗以推进进度并领取奖励
Challenge is not available in the offline build,~,离线版不可使用挑战
