效果名	材质数	原 shader 列表	是否含未映射 shader	状态
Acid Rain Damage Target	8	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
AcidSpraySweepAttack	12	Everguild/FX/Extra Color, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Air to Ground Big	13	Everguild/FX/Extra Color, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Shader Graphs/Fx_ParticleDissolve_apb, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
AlphaWarriorEffect	9	Everguild/FX/Extra Color, Everguild/Matcap/Matcap With Texture, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
AmbushEffect	8	Everguild/FX/Extra Color, Everguild/FX/Particle Dissolve Mask, Universal Render Pipeline/Particles/Unlit	否	OK
Antimatter Explosion	8	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
Arco-Flagellant Strike	6	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
ArdAsNailsEffect	8	Everguild/Sprites/Sprite Additive, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
Armor_Necron	4	Everguild/FX/Extra Color, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
ArmourEffect	7	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
ArmourEffect_Bladeguard_Shield	10	Everguild/FX/Extra Color, Everguild/FX/ShieldVfx, Universal Render Pipeline/Particles/Unlit	是	OK
ArmourEffect_Nurgle	13	Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	否	OK
ArtificeEffect	8	Everguild/FX/Extra Color, Particles/Standard Unlit, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
Artillery Ground	12	Everguild/FX/Extra Color, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Shader Graphs/Fx_ParticleDissolve_apb, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Artillery Manticore down 1x	13	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Artillery Manticore down 2x spread	12	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Artillery Manticore down 4x	13	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Artillery Manticore down 4x spread	12	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Artillery Manticore up 2x	18	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Artillery Manticore up 4x	18	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Atk_BulletImpact_Vox-pulse	9	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
Atk_BulletImpact_Vox-pulse digital	9	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
Atk_BulletImpact_Vox-pulse purple	9	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
Atk_ChemVial_2	14	Everguild/FX/Extra Color, Everguild/FX/Rays For Trail, Everguild/Matcap/Matcap Full Options, GlassRefraction, Universal Render Pipeline/Particles/Unlit	是	OK
Atk_ExileGlaiveThrow Movement	12	Everguild/FX/Extra Color, Everguild/FX/Particle Dissolve Mask, Everguild/FX/Particle Distortion Affect Transparents, Everguild/FX/Rays For Trail, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	是	OK
Atk_GrotGrenade	11	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/FX/Rays For Trail, Universal Render Pipeline/Particles/Unlit	是	OK
Atk_GrotGrenade_big	13	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/FX/Particle Premultiply Greyscale Coloring, Everguild/FX/Rays For Trail, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	是	OK
Atk_GrotRock	11	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/FX/Rays For Trail, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	是	OK
Atk_HelspearThrow Movement	12	Everguild/FX/Extra Color, Everguild/FX/Particle Dissolve Mask, Everguild/FX/Particle Distortion Affect Transparents, Everguild/FX/Particle Premultiply Greyscale Coloring, Everguild/FX/Rays For Trail, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	是	OK
Atk_JainasMor	13	Everguild/FX/Extra Color, Everguild/FX/Particle Dissolve Mask, Everguild/FX/Particle Distortion Affect Transparents, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
Atk_KrootJavelinThrow Movement	13	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/FX/Rays For Trail, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	是	OK
Atk_Rokkit-Harpoon big	20	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/FX/Particle Premultiply, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	否	OK
Atk_Rokkit-Harpoon small	19	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/FX/Particle Premultiply, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	否	OK
Atk_StikkaThrow Movement	12	Everguild/FX/Particle Distortion Affect Transparents, Everguild/FX/Particle Premultiply Greyscale Coloring, Everguild/FX/Rays For Trail, Everguild/Matcap/Matcap Full Options VAT, Universal Render Pipeline/Particles/Unlit	是	OK
Attack_Stomp	6	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Universal Render Pipeline/Particles/Unlit	否	OK
AttackHitSmall	2	Everguild/FX/Extra Color, Everguild/FX/Particle Dissolve Premultiply	是	OK
AttackSquigEffect	3	Everguild/Matcap/Matcap Full Options, Universal Render Pipeline/Particles/Simple Lit, Universal Render Pipeline/Particles/Unlit	否	OK
Aura_WhileInPlay_1	4	Universal Render Pipeline/Particles/Unlit	否	OK
Aura_WhileInPlay_2	6	Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Axe_Slash_User_SW	7	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/FX/ShieldVfx, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	是	OK
BacklashEffect	4	Everguild/FX/Particle Dissolve Mask, Everguild/FX/Particle Premultiply Greyscale Coloring, Legacy Shaders/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
Backstab Dagger	8	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/Matcap/Matcap Full Options, Universal Render Pipeline/Particles/Unlit	否	OK
Backstab Dagger Intense	9	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/Matcap/Matcap Full Options, Universal Render Pipeline/Particles/Unlit	否	OK
BansheeHowl	2	Everguild/FX/Particle Distortion Affect Transparents, Universal Render Pipeline/Particles/Unlit	否	OK
BansheeHowl_blood	3	Everguild/FX/Particle Distortion Affect Transparents, Universal Render Pipeline/Particles/Unlit	否	OK
BansheeHowl_blood glow	4	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Universal Render Pipeline/Particles/Unlit	否	OK
