效果名	改前判定	改后判定	改前|ln|	改后|ln|	变化
Basic_army_Guard_quick	Z	Z	0.155	0.161	+0.005
Scream_purple_Quick	Z	Z	0.230	0.230	+0.000
BulletImpact_1hit_trail_ork	Z	Z	0.227	0.267	+0.040
Faith UI Gain	Z	Z	0.013	0.020	+0.007
Possession_self	E	E	1.518	1.295	-0.223
Sau_ResurrectionOrb	Z	Z	0.013	0.004	-0.009
UM_Target_LockOn_Crosshair	Z	Z	0.068	0.068	+0.000
Buff_Chaos_Star	Z	Z	0.052	0.058	+0.006
Basic_army_DA_Intense	E	E	0.933	0.928	-0.004
BulletImpact_Sonic Weapon 2 Twinlink	E	E	0.423	0.539	+0.116
UM_Buff	E	E	0.659	0.623	-0.036
UnstableEffect_ExplosionExtra	Z	Z	0.049	0.056	+0.008
Buff_Sororitas	Z	Z	0.239	0.217	-0.022
Psychic_Lightning_NornEmissary	Z	Z	0.020	0.119	+0.098
Buff EC Pink Twirl	E	E	0.913	0.881	-0.032
Healing_Projectile_Frost	Z	Z	0.231	0.228	-0.003
Smoke_Explosion	E	E	1.886	2.129	+0.243
Healing_Projectile_Green	Z	Z	0.166	0.169	+0.003
Explosion Hand UI 0,5s delay	Z	Z	0.251	0.160	-0.092
Stealth_Proc_UM	E	E		3.320	新可判定
BigKrumpaKlawEffect	Z	Z	0.025	0.014	-0.011
Environmental Condition Astra Militarum Dawn Attack	Z	Z	0.000	0.000	+0.000
BulletImpact_4shot_trail_chaos	Z	Z	0.057	0.149	+0.092
Basic_army_UM_Chainsword	E	E	0.445	0.441	-0.004
BulletImpact_GrenadierGauntlet	Z	Z	0.099	0.160	+0.061
EC Sword Cut Board DMC Style	E	E	0.392	0.693	+0.301
Basic_army_UM	E	E	0.443	0.439	-0.003
Pulse Onslaught	E	E	1.083	1.019	-0.064
BloodThirstEffect	E	E	0.854	0.795	-0.059
StunEffect	E	E	0.953	1.087	+0.134
Sau_SolarPulse	Z	Z	0.233	0.222	-0.011
Buff_Green	E	E	0.466	0.467	+0.001
Faith_trigger_unit	Z	Z	0.221	0.216	-0.005
DutyEffect	E	E	0.410	0.616	+0.206
