effect	px	py	pz	lx	ly	lz	fov	near	far	_
Acid Rain Damage Target	0	-1.31799984	-37.3011475	0	-1.31799984	0	40	0.01	1180.5658	0
AcidSpraySweepAttack	-8.293725	-0.7360749	-66.00653	-8.293725	-0.7360749	0.6746845	40	0.01	2110.43286	0
Air to Ground Big	-2.088592	0.394140244	-52.18786	-2.088592	0.394140244	0	40	0.01	1651.724	0
AlphaWarriorEffect	-0.00011920929	0.4026327	-29.1977673	-0.00011920929	0.4026327	0.103284359	40	0.01	927.36615	0
AmbushEffect	0	-0.00159978867	-22.1125984	0	-0.00159978867	0.04460001	40	0.01	701.2662	0
Antimatter Explosion	0.04785216	-0.302399635	-8.490384	0.04785216	-0.302399635	0.0037920475	40	0.01	268.837128	0
Arco-Flagellant Strike	-0.2623005	-0.07748127	-30.7310257	-0.2623005	-0.07748127	0	40	0.01	972.6242	0
ArdAsNailsEffect	0	-1.109385	-39.3267441	0	-1.109385	0.40426445	40	0.01	1257.47	0
Armor_Necron	0	0.2706132	-19.5219841	0	0.2706132	-0.533251762	40	0.01	600.9855	0
ArmourEffect	0	-1.22625017	-21.166853	0	-1.22625017	1.05793715	40	0.01	703.405457	0
ArmourEffect_Bladeguard_Shield	0	-0.8062506	-40.979702	0	-0.8062506	1.7708745	40	0.01	1353.03809	0
ArmourEffect_Nurgle	0	-0.81799984	-58.3158722	0	-0.81799984	0	40	0.01	1845.67322	0
ArtificeEffect	-0.235900044	-0.2563858	-10.6100616	-0.235900044	-0.2563858	0.1032635	40	0.01	339.0723	0
Artillery Ground	0	2.16998672	-41.28164	0	2.16998672	0	40	0.01	1306.54663	0
Artillery Manticore down 1x	3.05175781E-05	4.167713	-50.74602	3.05175781E-05	4.167713	0	40	0.01	1606.09058	0
Artillery Manticore down 2x spread	0.007846832	2.49214935	-69.0622559	0.007846832	2.49214935	0.370938778	40	0.01	2197.532	0
Artillery Manticore down 4x	1.66893E-05	-0.499940872	-86.49068	1.66893E-05	-0.499940872	0	40	0.01	2737.394	0
Artillery Manticore down 4x spread	2.04499149	2.791811	-84.40177	2.04499149	2.791811	0.569558144	40	0.01	2689.30737	0
Artillery Manticore up 2x	0	14.0057869	-60.0008	0	14.0057869	0.0454998	40	0.01	1900.44043	0
Artillery Manticore up 4x	0	20.759016	-85.1916962	0	20.759016	0.0454998	40	0.01	2697.72217	0
Atk_BulletImpact_Vox-pulse	-0.2867725	0.159999967	-85.6953	-0.2867725	0.159999967	36.953373	40	0.01	3881.77954	0
Atk_BulletImpact_Vox-pulse digital	-0.2870052	0.159999967	-85.69307	-0.2870052	0.159999967	36.9530754	40	0.01	3881.69946	0
Atk_BulletImpact_Vox-pulse purple	-0.2867725	0.159999967	-85.69058	-0.2867725	0.159999967	36.9511757	40	0.01	3881.56055	0
Atk_ChemVial_2	-0.1046499	0.159999967	-7.24108362	-0.1046499	0.159999967	0	40	0.01	229.177277	0
Atk_ExileGlaiveThrow Movement	0	0	-19.4319267	0	0	0	40	0.01	615.0124	0
Atk_GrotGrenade	0	0	-19.4319267	0	0	0	40	0.01	615.0124	0
Atk_GrotGrenade_big	0	0	-19.4319267	0	0	0	40	0.01	615.0124	0
Atk_GrotRock	0	0	-19.4319267	0	0	0	40	0.01	615.0124	0
Atk_HelspearThrow Movement	0	0	-19.4319267	0	0	0	40	0.01	615.0124	0
Atk_JainasMor	0.0260000229	0.325000048	-19.74369	0.0260000229	0.325000048	-0.190500021	40	0.01	618.850342	0
Atk_KrootJavelinThrow Movement	0	0	-19.4319267	0	0	0	40	0.01	615.0124	0
Atk_Rokkit-Harpoon big	0	0	-19.5551128	0	0	0.145144224	40	0.01	623.504944	0
Atk_Rokkit-Harpoon small	0	0	-19.4319267	0	0	0	40	0.01	615.0124	0
Atk_StikkaThrow Movement	0	0	-9.715963	0	0	0	40	0.01	307.5062	0
Attack_Stomp	0	0	-24.4980145	0	0	-0.5231881	40	0.01	758.793335	0
AttackHitSmall	0	0	-145.707611	0	0	0	40	0.01	4611.58545	0
AttackSquigEffect	-3.05175781E-05	6.10351563E-05	-1751.39868	-3.05175781E-05	6.10351563E-05	0.289001465	40	0.01	55440.1875	0
Aura_WhileInPlay_1	0	-1.31	-23.3134842	0	-1.31	0	40	0.01	737.8621	0
Aura_WhileInPlay_2	0	-1.31	-23.3134842	0	-1.31	0	40	0.01	737.8621	0
Axe_Slash_User_SW	0.8101001	-0.440000057	-26.10025	0.8101001	-0.440000057	0	40	0.01	826.062134	0
BacklashEffect	-0.09977102	0	-13.2972383	-0.09977102	0	0	40	0.01	420.852081	0
Backstab Dagger	0.0149011612	-0.106562614	-26.9269676	0.0149011612	-0.106562614	-1.12065506	40	0.01	816.7591	0
Backstab Dagger Intense	-0.0366239548	-0.106562614	-26.6736526	-0.0366239548	-0.106562614	-0.998576641	40	0.01	812.605469	0
BansheeHowl	0	0.360039949	-18.7072563	0	0.360039949	0.4000001	40	0.01	604.7367	0
BansheeHowl_blood	0	1.33375025	-21.0082474	0	1.33375025	0.4000001	40	0.01	677.562134	0
BansheeHowl_blood glow	0	1.33375025	-21.0082474	0	1.33375025	0.4000001	40	0.01	677.562134	0
BansheeHowl_warlord	0	0.360039949	-18.7072563	0	0.360039949	0.4000001	40	0.01	604.7367	0
Basic_army_BL	0	-1.47000027	-51.02639	0	-1.47000027	0	40	0.01	1614.96411	0
Basic_army_DA	0	-0.6300001	-51.02639	0	-0.6300001	0	40	0.01	1614.96411	0
Basic_army_DA_Intense	0	-0.6300001	-51.02639	0	-0.6300001	0	40	0.01	1614.96411	0
Basic_army_DA_Intense_Secret	0	-0.6300001	-51.02639	0	-0.6300001	0	40	0.01	1614.96411	0
Basic_army_DA_NoIcon	0	-0.6300001	-51.0264	0	-0.6300001	0	40	0.01	1614.96448	0
Basic_army_GSC	0	-1.20120049	-55.62336	0	-1.20120049	0	40	0.01	1760.4563	0
Basic_army_GSC_intense	0	-1.47000027	-51.02639	0	-1.47000027	0	40	0.01	1614.96411	0
Basic_army_GSC_Jackal	0	-1.20120049	-55.62336	0	-1.20120049	0	40	0.01	1760.4563	0
Basic_army_GSC_shake	0	-1.16520023	-55.62336	0	-1.16520023	0	40	0.01	1760.4563	0
Basic_army_Guard	0	-1.3380003	-37.3011475	0	-1.3380003	0	40	0.01	1180.5658	0
Basic_army_Guard Board	9.536743E-07	-1.3380003	-47.78049	9.536743E-07	-1.3380003	0	40	0.01	1512.23267	0
Basic_army_Guard Digital	0	-1.12202883	-28.3756237	0	-1.12202883	0	40	0.01	898.0767	0
Basic_army_Guard Intense	0	-1.3253994	-37.3444824	0	-1.3253994	-0.007200718	40	0.01	1181.70947	0
Basic_army_Guard_quick	0	0.09000015	-16.7855186	0	0.09000015	0	40	0.01	531.2547	0
Basic_army_Guard_quick Master of Ordnance	0	0.09000015	-16.7855186	0	0.09000015	0	40	0.01	531.2547	0
Basic_army_UM	0	-1.47000027	-51.02639	0	-1.47000027	0	40	0.01	1614.96411	0
Basic_army_UM_Chainsword	0	-1.47000027	-51.02639	0	-1.47000027	0	40	0.01	1614.96411	0
Basic_army_UM_Chant	0	-1.47000027	-51.02639	0	-1.47000027	0	40	0.01	1614.96411	0
Basic_army_UM_chaplain	0	-1.47000027	-51.02639	0	-1.47000027	0	40	0.01	1614.96411	0
Basic_army_UM_Guilliman	0	-1.47000027	-63.56957	0	-1.47000027	0	40	0.01	2011.95044	0
Basic_army_UM_Hammer	0	-1.47000027	-51.02639	0	-1.47000027	0	40	0.01	1614.96411	0
Basic_army_UM_Pre-Effect	0	-1.3380003	-37.3011475	0	-1.3380003	0	40	0.01	1180.5658	0
Basic_army_UM_quick	0	-1.47000027	-50.93039	0	-1.47000027	0.09599972	40	0.01	1614.96411	0
BeastSnagga_Summon	0	-12.0788536	-77.52981	0	-12.0788536	0	40	0.01	2453.78638	0
BigKrumpaKlawEffect	0.000121593475	0.0440592766	-22.05255	0.000121593475	0.0440592766	0.114126682	40	0.01	701.5661	0
Birth of a Saga	8.716624	-7.68767738	-78.66028	8.716624	-7.68767738	0.377284527	40	0.01	2501.50586	0
BlackCrusade_Battleground	0	-0.23400116	-252.559921	0	-0.23400116	0	40	0.01	7993.4165	0
BlackCrusade_Battleground repeat	0	0	-252.359924	0	0	0.200000763	40	0.01	7993.4165	0
Blacksword_Missile_offscreen	-16.9358978	-18.54039	-184.511551	-16.9358978	-18.54039	6.221121	40	0.01	6036.61	0
Blacksword_Missile_volley	22.3557777	21.292717	-30.4659386	22.3557777	21.292717	-8.466322	40	0.01	696.278748	0
Blast_Big_Ork	1.51774931	-7.246085	-45.6062622	1.51774931	-7.246085	3.2515974	40	0.01	1546.331	0
Blast_Big_Ork_Missiles	0.5007441	-6.94679832	-43.61459	0.5007441	-6.94679832	4.826257	40	0.01	1533.13269	0
Blast_Plasma	3.244372	-0.184001446	-89.095726	3.244372	-0.184001446	-4.34845543	40	0.01	2682.21582	0
Blast_Plasma_Helbrute	-0.940000057	0.332000017	-88.1876	-0.940000057	0.332000017	10.332201	40	0.01	3118.1106	0
Blast_Plasma_MegaBlasta	-0.940000057	-0.0479915142	-89.15863	-0.940000057	-0.0479915142	-4.34845352	40	0.01	2684.207	0
Blast_Plasma_Sentinel	-0.940000057	0.332000017	-80.11177	-0.940000057	0.332000017	12.2965736	40	0.01	2924.68579	0
Blast_Plasma_Sentinel_twinlink	-0.7499156	0.332000017	-80.233284	-0.7499156	0.332000017	12.30265	40	0.01	2928.72388	0
BlastEffect	0	-0.655670166	-76.16727	0	-0.655670166	0	40	0.01	2410.66235	0
Blind_continuous_effect	0	0	-11.6566105	0	0	0	40	0.01	368.92688	0
BlindEffect	0.132478714	0.8193388	-26.3627586	0.132478714	0.8193388	-0.115371704	40	0.01	830.7189	0
BloodThirstEffect	0	-1.30000019	-29.9446125	0	-1.30000019	0	40	0.01	947.734558	0
BloodThirstEffect_continuous	0	0.0236145258	-9.892296	0	0.0236145258	0.125	40	0.01	317.043243	0
BloodThirstEffect_Gain	0	-1.30000019	-23.31322	0	-1.30000019	1.43051147E-06	40	0.01	737.85376	0
BloodThirstEffect_Idle	0	0.05799997	-9.29987	0	0.05799997	0.100000024	40	0.01	297.501984	0
BloodThirstEffect_Lose	0	0.4128592	-10.0898247	0	0.4128592	0.1032635	40	0.01	322.607025	0
BloodySplash	-0.0450458527	-6.3184166	-49.9925842	-0.0450458527	-6.3184166	-0.790140152	40	0.01	1557.237	0
BlueSummonCircle	0	0.01999998	-23.3132172	0	0.01999998	0	40	0.01	737.853638	0
Bolter Casing_Imperial	2.14411473	-0.984838	-9.853338	2.14411473	-0.984838	1.269835	40	0.01	352.0438	0
Bolter Casing_Orks	2.03330135	-0.1991359	-8.045846	2.03330135	-0.1991359	1.0506922	40	0.01	287.901672	0
Bolter Casing_Traitor	2.98350739	-0.67202127	-10.748354	2.98350739	-0.67202127	1.4847064	40	0.01	387.171265	0
BolterSweep	-3.32527542	-4.318234	-33.225605	-3.32527542	-4.318234	5.279849	40	0.01	1218.68176	0
BolterSweep_2	-3.51288319	-4.01135349	-33.8700676	-3.51288319	-4.01135349	5.54057026	40	0.01	1247.33032	0
Bore Through	-1.20763969	0.186993837	-16.208168	-1.20763969	0.186993837	-0.646618843	40	0.01	492.5166	0
Bore Through Intense	-1.24356651	-0.4725001	-18.4626961	-1.24356651	-0.4725001	-0.499700546	40	0.01	568.521362	0
Buff EC On Warlord When Creating Card	0	-1.34000015	-38.8553619	0	-1.34000015	0	40	0.01	1229.7561	0
Buff EC Pink Twirl	0	-1.30000019	-38.8553619	0	-1.30000019	0	40	0.01	1229.7561	0
Buff EC Pink Twirl Intense	0	-1.19	-38.8553619	0	-1.19	0	40	0.01	1229.7561	0
Buff EC Stimulate	0	-1.2249999	-38.8553619	0	-1.2249999	0	40	0.01	1229.7561	0
Buff EC Stimulate passive	-0.0101456642	-0.1181891	-7.035796	-0.0101456642	-0.1181891	-0.6037233	40	0.01	203.572433	0
Buff_BL_Intense	0	-1.3380003	-69.93965	0	-1.3380003	0	40	0.01	2213.56079	0
Buff_Blue	0	-1.46999979	-43.736908	0	-1.46999979	0	40	0.01	1384.255	0
Buff_Blue_SW	0	-1.47000027	-47.67717	0	-1.47000027	0	40	0.01	1508.96265	0
Buff_Blue_SW_Intense	0	-1.47000027	-47.67717	0	-1.47000027	0	40	0.01	1508.96265	0
Buff_Blue_SW_Wolf	0	-1.47000027	-47.67717	0	-1.47000027	0	40	0.01	1508.96265	0
Buff_Blue_Tau	0	-1.46999979	-43.736908	0	-1.46999979	0	40	0.01	1384.255	0
Buff_Blue_Tau_quick	0	-1.46999979	-43.736908	0	-1.46999979	0	40	0.01	1384.255	0
Buff_Chaos_Star	0	-1.47000027	-51.22639	0	-1.47000027	-0.199999809	40	0.01	1614.96411	0
Buff_DA_Forest_Self	0	-1.30999947	-37.3011475	0	-1.30999947	0	40	0.01	1180.5658	0
