effect	time	lit	sum	lit_srgb	sum_srgb
Acid Rain Damage Target	0.15	0	0	65536	62740
Acid Rain Damage Target	0.30	0	0	65536	62740
Acid Rain Damage Target	0.50	9	5	65536	62744
Acid Rain Damage Target	0.75	44	22	65536	62756
Acid Rain Damage Target	1.00	58	29	65536	62761
Acid Rain Damage Target	1.50	233	135	65536	62845
Acid Rain Damage Target	2.00	41	14	65536	62754
Acid Rain Damage Target	3.00	0	0	65536	62740
AcidSpraySweepAttack	0.15	31	19	65536	62756
AcidSpraySweepAttack	0.30	66	39	65536	62771
AcidSpraySweepAttack	0.50	97	56	65536	62784
AcidSpraySweepAttack	0.75	93	53	65536	62781
AcidSpraySweepAttack	1.00	90	50	65536	62779
AcidSpraySweepAttack	1.50	83	51	65536	62781
AcidSpraySweepAttack	2.00	81	51	65536	62780
AcidSpraySweepAttack	3.00	93	56	65536	62785
Air to Ground Big	0.15	219	175	65536	62866
Air to Ground Big	0.30	226	195	65536	62881
Air to Ground Big	0.50	71	69	65536	62788
Air to Ground Big	0.75	71	69	65536	62788
Air to Ground Big	1.00	178	157	65536	62853
Air to Ground Big	1.50	215	203	65536	62887
Air to Ground Big	2.00	0	0	65536	62741
Air to Ground Big	3.00	0	0	65536	62740
AlphaWarriorEffect	0.15	552	629	65536	63246
AlphaWarriorEffect	0.30	733	752	65536	63345
AlphaWarriorEffect	0.50	969	894	65536	63461
AlphaWarriorEffect	0.75	1029	722	65536	63317
AlphaWarriorEffect	1.00	119	51	65536	62769
AlphaWarriorEffect	1.50	3	1	65536	62745
AlphaWarriorEffect	2.00	0	0	65536	62742
AlphaWarriorEffect	3.00	0	0	65536	62740
AmbushEffect	0.15	37	24	65536	62744
AmbushEffect	0.30	55	39	65536	62739
AmbushEffect	0.50	84	53	65536	62733
AmbushEffect	0.75	602	613	65536	63185
AmbushEffect	1.00	736	499	65536	63062
AmbushEffect	1.50	589	295	65536	62928
AmbushEffect	2.00	0	0	65536	62739
AmbushEffect	3.00	0	0	65536	62740
Antimatter Explosion	0.15	0	0	65536	62740
Antimatter Explosion	0.30	461	384	65536	63039
Antimatter Explosion	0.50	441	395	65536	63050
Antimatter Explosion	0.75	376	375	65536	63031
Antimatter Explosion	1.00	433	442	65536	63088
Antimatter Explosion	1.50	2595	3272	65536	65310
Antimatter Explosion	2.00	1060	409	65536	63048
Antimatter Explosion	3.00	106	65	65536	62793
Arco-Flagellant Strike	0.15	123	121	65536	62833
Arco-Flagellant Strike	0.30	26	10	65536	62748
Arco-Flagellant Strike	0.50	0	0	65536	62741
Arco-Flagellant Strike	0.75	13	5	65536	62744
Arco-Flagellant Strike	1.00	1	0	65536	62741
Arco-Flagellant Strike	1.50	0	0	65536	62741
Arco-Flagellant Strike	2.00	0	0	65536	62740
Arco-Flagellant Strike	3.00	0	0	65536	62740
ArdAsNailsEffect	0.15	682	814	65536	63390
ArdAsNailsEffect	0.30	1066	1139	65536	63656
ArdAsNailsEffect	0.50	1221	1214	65536	63731
ArdAsNailsEffect	0.75	1220	1133	65536	63676
ArdAsNailsEffect	1.00	1124	890	65536	63485
ArdAsNailsEffect	1.50	607	273	65536	62953
ArdAsNailsEffect	2.00	2	2	65536	62742
ArdAsNailsEffect	3.00	0	0	65536	62740
Armor_Necron	0.15	0	0	65536	62740
Armor_Necron	0.30	22	8	65536	62745
Armor_Necron	0.50	50	33	65536	62766
Armor_Necron	0.75	58	48	65536	62780
Armor_Necron	1.00	50	44	65536	62777
Armor_Necron	1.50	50	43	65536	62776
Armor_Necron	2.00	56	47	65536	62779
Armor_Necron	3.00	0	0	65536	62740
ArmourEffect	0.15	220	248	65536	62950
ArmourEffect	0.30	744	695	65536	63284
ArmourEffect	0.50	833	814	65536	63378
ArmourEffect	0.75	861	764	65536	63333
ArmourEffect	1.00	514	260	65536	62941
ArmourEffect	1.50	0	0	65536	62740
ArmourEffect	2.00	0	0	65536	62740
ArmourEffect	3.00	0	0	65536	62740
ArmourEffect_Bladeguard_Shield	0.15	70	155	65536	62856
ArmourEffect_Bladeguard_Shield	0.30	99	222	65536	62906
ArmourEffect_Bladeguard_Shield	0.50	159	290	65536	62968
ArmourEffect_Bladeguard_Shield	0.75	165	246	65536	62943
ArmourEffect_Bladeguard_Shield	1.00	165	244	65536	62942
ArmourEffect_Bladeguard_Shield	1.50	864	689	65536	63306
ArmourEffect_Bladeguard_Shield	2.00	152	92	65536	62816
ArmourEffect_Bladeguard_Shield	3.00	0	0	65536	62740
ArmourEffect_Nurgle	0.15	930	677	65536	63279
ArmourEffect_Nurgle	0.30	949	688	65536	63284
ArmourEffect_Nurgle	0.50	893	617	65536	63223
ArmourEffect_Nurgle	0.75	775	482	65536	63109
ArmourEffect_Nurgle	1.00	591	331	65536	62981
ArmourEffect_Nurgle	1.50	78	35	65536	62767
ArmourEffect_Nurgle	2.00	0	0	65536	62740
ArmourEffect_Nurgle	3.00	0	0	65536	62740
ArtificeEffect	0.15	3022	3216	65536	65253
ArtificeEffect	0.30	3033	3567	65536	65538
ArtificeEffect	0.50	3047	3623	65536	65586
ArtificeEffect	0.75	2977	3036	65536	65107
ArtificeEffect	1.00	730	1304	65536	63715
ArtificeEffect	1.50	0	0	65536	62740
ArtificeEffect	2.00	0	0	65536	62740
ArtificeEffect	3.00	0	0	65536	62740
Artillery Ground	0.15	0	0	65536	62740
Artillery Ground	0.30	0	0	65536	62740
Artillery Ground	0.50	0	0	65536	62740
Artillery Ground	0.75	0	0	65536	62740
Artillery Ground	1.00	377	434	65536	63047
Artillery Ground	1.50	0	0	65536	62740
Artillery Ground	2.00	0	0	65536	62740
Artillery Ground	3.00	0	0	65536	62740
Artillery Manticore down 1x	0.15	62	54	65536	62781
Artillery Manticore down 1x	0.30	50	48	65536	62777
Artillery Manticore down 1x	0.50	67	57	65536	62783
Artillery Manticore down 1x	0.75	0	0	65536	62740
Artillery Manticore down 1x	1.00	0	0	65536	62740
Artillery Manticore down 1x	1.50	0	0	65536	62740
Artillery Manticore down 1x	2.00	0	0	65536	62740
Artillery Manticore down 1x	3.00	0	0	65536	62740
Artillery Manticore down 2x spread	0.15	231	225	65536	62912
Artillery Manticore down 2x spread	0.30	441	431	65536	63071
Artillery Manticore down 2x spread	0.50	556	500	65536	63121
Artillery Manticore down 2x spread	0.75	0	0	65536	62740
Artillery Manticore down 2x spread	1.00	0	0	65536	62740
Artillery Manticore down 2x spread	1.50	0	0	65536	62740
Artillery Manticore down 2x spread	2.00	0	0	65536	62740
Artillery Manticore down 2x spread	3.00	0	0	65536	62740
Artillery Manticore down 4x	0.15	52	45	65536	62775
Artillery Manticore down 4x	0.30	88	81	65536	62802
Artillery Manticore down 4x	0.50	215	181	65536	62877
Artillery Manticore down 4x	0.75	99	89	65536	62808
Artillery Manticore down 4x	1.00	0	0	65536	62740
Artillery Manticore down 4x	1.50	0	0	65536	62740
Artillery Manticore down 4x	2.00	0	0	65536	62740
Artillery Manticore down 4x	3.00	0	0	65536	62740
Artillery Manticore down 4x spread	0.15	229	208	65536	62897
Artillery Manticore down 4x spread	0.30	418	389	65536	63038
Artillery Manticore down 4x spread	0.50	929	837	65536	63379
Artillery Manticore down 4x spread	0.75	463	426	65536	63066
Artillery Manticore down 4x spread	1.00	0	0	65536	62740
Artillery Manticore down 4x spread	1.50	0	0	65536	62740
Artillery Manticore down 4x spread	2.00	0	0	65536	62740
Artillery Manticore down 4x spread	3.00	0	0	65536	62740
Artillery Manticore up 2x	0.15	196	207	65536	62915
Artillery Manticore up 2x	0.30	488	515	65536	63180
Artillery Manticore up 2x	0.50	602	513	65536	63183
Artillery Manticore up 2x	0.75	40	15	65536	62750
Artillery Manticore up 2x	1.00	16	5	65536	62746
Artillery Manticore up 2x	1.50	0	0	65536	62740
Artillery Manticore up 2x	2.00	0	0	65536	62740
Artillery Manticore up 2x	3.00	0	0	65536	62740
Artillery Manticore up 4x	0.15	196	207	65536	62915
Artillery Manticore up 4x	0.30	488	515	65536	63179
Artillery Manticore up 4x	0.50	707	699	65536	63328
Artillery Manticore up 4x	0.75	721	623	65536	63266
Artillery Manticore up 4x	1.00	53	20	65536	62754
Artillery Manticore up 4x	1.50	0	0	65536	62741
Artillery Manticore up 4x	2.00	0	0	65536	62740
Artillery Manticore up 4x	3.00	0	0	65536	62740
Atk_BulletImpact_Vox-pulse	0.15	31	19	65536	62756
Atk_BulletImpact_Vox-pulse	0.30	32	18	65536	62755
Atk_BulletImpact_Vox-pulse	0.50	0	0	65536	62740
Atk_BulletImpact_Vox-pulse	0.75	0	0	65536	62740
Atk_BulletImpact_Vox-pulse	1.00	0	0	65536	62740
Atk_BulletImpact_Vox-pulse	1.50	0	0	65536	62740
Atk_BulletImpact_Vox-pulse	2.00	0	0	65536	62740
Atk_BulletImpact_Vox-pulse	3.00	0	0	65536	62740
Atk_BulletImpact_Vox-pulse digital	0.15	21	16	65536	62753
Atk_BulletImpact_Vox-pulse digital	0.30	36	27	65536	62762
Atk_BulletImpact_Vox-pulse digital	0.50	0	0	65536	62740
Atk_BulletImpact_Vox-pulse digital	0.75	0	0	65536	62740
Atk_BulletImpact_Vox-pulse digital	1.00	0	0	65536	62740
Atk_BulletImpact_Vox-pulse digital	1.50	0	0	65536	62740
