effect	time	lit	sum	lit_srgb	sum_srgb
Acid Rain Damage Target	0.15	0	0	65536	62740
Acid Rain Damage Target	0.30	0	0	65536	62740
Acid Rain Damage Target	0.50	9	5	65536	62744
Acid Rain Damage Target	0.75	44	22	65536	62756
Acid Rain Damage Target	1.00	58	29	65536	62761
Acid Rain Damage Target	1.50	234	134	65536	62844
Acid Rain Damage Target	2.00	41	14	65536	62754
Acid Rain Damage Target	3.00	0	0	65536	62740
AcidSpraySweepAttack	0.15	37	23	65536	62758
AcidSpraySweepAttack	0.30	36	24	65536	62760
AcidSpraySweepAttack	0.50	30	21	65536	62758
AcidSpraySweepAttack	0.75	43	27	65536	62761
AcidSpraySweepAttack	1.00	29	21	65536	62758
AcidSpraySweepAttack	1.50	35	23	65536	62758
AcidSpraySweepAttack	2.00	33	22	65536	62758
AcidSpraySweepAttack	3.00	33	22	65536	62758
Air to Ground Big	0.15	28	16	65536	62752
Air to Ground Big	0.30	28	16	65536	62752
Air to Ground Big	0.50	28	16	65536	62752
Air to Ground Big	0.75	28	16	65536	62752
Air to Ground Big	1.00	266	279	65536	62939
Air to Ground Big	1.50	390	419	65536	63039
Air to Ground Big	2.00	0	0	65536	62740
Air to Ground Big	3.00	0	0	65536	62740
AlphaWarriorEffect	0.15	559	628	65536	63244
AlphaWarriorEffect	0.30	743	740	65534	63301
AlphaWarriorEffect	0.50	995	863	65536	63350
AlphaWarriorEffect	0.75	1039	681	65535	63199
AlphaWarriorEffect	1.00	119	1	65532	62638
AlphaWarriorEffect	1.50	3	1	65536	62745
AlphaWarriorEffect	2.00	0	0	65536	62742
AlphaWarriorEffect	3.00	0	0	65536	62740
AmbushEffect	0.15	189	5	65524	62568
AmbushEffect	0.30	196	6	65524	62559
AmbushEffect	0.50	218	9	65521	62548
AmbushEffect	0.75	590	539	65536	63128
AmbushEffect	1.00	833	572	65536	63053
AmbushEffect	1.50	691	352	65536	62878
AmbushEffect	2.00	0	0	65536	62739
AmbushEffect	3.00	0	0	65536	62740
Antimatter Explosion	0.15	0	0	65536	62742
Antimatter Explosion	0.30	645	728	65536	63277
Antimatter Explosion	0.50	684	723	65536	63270
Antimatter Explosion	0.75	567	651	65536	63217
Antimatter Explosion	1.00	613	813	65536	63340
Antimatter Explosion	1.50	2601	3550	65536	65479
Antimatter Explosion	2.00	1889	803	65536	63258
Antimatter Explosion	3.00	120	87	65536	62812
Arco-Flagellant Strike	0.15	103	87	65536	62808
Arco-Flagellant Strike	0.30	19	7	65536	62746
Arco-Flagellant Strike	0.50	1	0	65536	62741
Arco-Flagellant Strike	0.75	20	8	65536	62746
Arco-Flagellant Strike	1.00	5	2	65536	62742
Arco-Flagellant Strike	1.50	0	0	65536	62741
Arco-Flagellant Strike	2.00	0	0	65536	62740
Arco-Flagellant Strike	3.00	0	0	65536	62740
ArdAsNailsEffect	0.15	633	730	65536	63258
ArdAsNailsEffect	0.30	920	841	65536	63348
ArdAsNailsEffect	0.50	917	701	65536	63199
ArdAsNailsEffect	0.75	849	566	65536	63034
ArdAsNailsEffect	1.00	621	451	65536	62987
ArdAsNailsEffect	1.50	15	12	65536	62777
ArdAsNailsEffect	2.00	2	2	65536	62742
ArdAsNailsEffect	3.00	0	0	65536	62740
Armor_Necron	0.15	0	0	65536	62740
Armor_Necron	0.30	22	8	65536	62745
Armor_Necron	0.50	50	33	65536	62766
Armor_Necron	0.75	58	48	65536	62780
Armor_Necron	1.00	50	44	65536	62777
Armor_Necron	1.50	50	43	65536	62776
Armor_Necron	2.00	56	47	65536	62779
Armor_Necron	3.00	0	0	65536	62740
ArmourEffect	0.15	215	226	65536	62930
ArmourEffect	0.30	761	703	65536	63291
ArmourEffect	0.50	843	815	65536	63382
ArmourEffect	0.75	865	749	65536	63325
ArmourEffect	1.00	519	265	65536	62946
ArmourEffect	1.50	0	0	65536	62740
ArmourEffect	2.00	0	0	65536	62740
ArmourEffect	3.00	0	0	65536	62740
ArmourEffect_Bladeguard_Shield	0.15	70	156	65536	62857
ArmourEffect_Bladeguard_Shield	0.30	99	222	65536	62906
ArmourEffect_Bladeguard_Shield	0.50	159	288	65536	62967
ArmourEffect_Bladeguard_Shield	0.75	165	240	65536	62939
ArmourEffect_Bladeguard_Shield	1.00	165	237	65536	62938
ArmourEffect_Bladeguard_Shield	1.50	875	783	65536	63361
ArmourEffect_Bladeguard_Shield	2.00	198	175	65536	62878
ArmourEffect_Bladeguard_Shield	3.00	0	0	65536	62740
ArmourEffect_Nurgle	0.15	804	611	65536	63224
ArmourEffect_Nurgle	0.30	802	593	65536	63197
ArmourEffect_Nurgle	0.50	748	526	65536	63136
ArmourEffect_Nurgle	0.75	618	394	65536	63025
ArmourEffect_Nurgle	1.00	437	260	65536	62914
ArmourEffect_Nurgle	1.50	68	31	65536	62762
ArmourEffect_Nurgle	2.00	0	0	65536	62740
ArmourEffect_Nurgle	3.00	0	0	65536	62740
ArtificeEffect	0.15	2243	1700	65536	64112
ArtificeEffect	0.30	2358	2148	65536	64477
ArtificeEffect	0.50	2356	2194	65536	64517
ArtificeEffect	0.75	2234	1649	65536	64066
ArtificeEffect	1.00	84	76	65536	62801
ArtificeEffect	1.50	0	0	65536	62740
ArtificeEffect	2.00	0	0	65536	62740
ArtificeEffect	3.00	0	0	65536	62740
Artillery Ground	0.15	0	0	65536	62740
Artillery Ground	0.30	0	0	65536	62740
Artillery Ground	0.50	0	0	65536	62740
Artillery Ground	0.75	0	0	65536	62740
Artillery Ground	1.00	1074	1180	65536	63579
Artillery Ground	1.50	0	0	65536	62740
Artillery Ground	2.00	0	0	65536	62740
Artillery Ground	3.00	0	0	65536	62740
Artillery Manticore down 1x	0.15	78	81	65536	62800
Artillery Manticore down 1x	0.30	60	61	65536	62786
Artillery Manticore down 1x	0.50	92	88	65536	62806
Artillery Manticore down 1x	0.75	0	0	65536	62740
Artillery Manticore down 1x	1.00	0	0	65536	62740
Artillery Manticore down 1x	1.50	0	0	65536	62740
Artillery Manticore down 1x	2.00	0	0	65536	62740
Artillery Manticore down 1x	3.00	0	0	65536	62740
Artillery Manticore down 2x spread	0.15	280	310	65536	62972
Artillery Manticore down 2x spread	0.30	490	518	65536	63132
Artillery Manticore down 2x spread	0.50	752	745	65536	63295
Artillery Manticore down 2x spread	0.75	0	0	65536	62740
Artillery Manticore down 2x spread	1.00	0	0	65536	62740
Artillery Manticore down 2x spread	1.50	0	0	65536	62740
Artillery Manticore down 2x spread	2.00	0	0	65536	62740
Artillery Manticore down 2x spread	3.00	0	0	65536	62740
Artillery Manticore down 4x	0.15	71	71	65536	62793
Artillery Manticore down 4x	0.30	110	107	65536	62820
Artillery Manticore down 4x	0.50	306	289	65536	62955
Artillery Manticore down 4x	0.75	138	141	65536	62845
Artillery Manticore down 4x	1.00	0	0	65536	62740
Artillery Manticore down 4x	1.50	0	0	65536	62740
Artillery Manticore down 4x	2.00	0	0	65536	62740
Artillery Manticore down 4x	3.00	0	0	65536	62740
Artillery Manticore down 4x spread	0.15	274	291	65536	62957
Artillery Manticore down 4x spread	0.30	457	469	65536	63095
Artillery Manticore down 4x spread	0.50	1211	1188	65536	63629
Artillery Manticore down 4x spread	0.75	569	603	65536	63191
Artillery Manticore down 4x spread	1.00	0	0	65536	62740
Artillery Manticore down 4x spread	1.50	0	0	65536	62740
Artillery Manticore down 4x spread	2.00	0	0	65536	62740
Artillery Manticore down 4x spread	3.00	0	0	65536	62740
Artillery Manticore up 2x	0.15	211	106	65536	62780
Artillery Manticore up 2x	0.30	504	193	65536	62766
Artillery Manticore up 2x	0.50	255	205	65536	62841
Artillery Manticore up 2x	0.75	96	54	65536	62773
Artillery Manticore up 2x	1.00	82	40	65536	62765
Artillery Manticore up 2x	1.50	0	0	65536	62740
Artillery Manticore up 2x	2.00	0	0	65536	62740
Artillery Manticore up 2x	3.00	0	0	65536	62740
Artillery Manticore up 4x	0.15	212	107	65536	62781
Artillery Manticore up 4x	0.30	503	193	65536	62767
Artillery Manticore up 4x	0.50	564	358	65536	62899
Artillery Manticore up 4x	0.75	530	252	65536	62819
Artillery Manticore up 4x	1.00	118	71	65536	62784
Artillery Manticore up 4x	1.50	34	13	65536	62749
Artillery Manticore up 4x	2.00	0	0	65536	62740
Artillery Manticore up 4x	3.00	0	0	65536	62740
Atk_BulletImpact_Vox-pulse	0.15	35	35	65536	62769
Atk_BulletImpact_Vox-pulse	0.30	43	36	65536	62770
Atk_BulletImpact_Vox-pulse	0.50	0	0	65536	62740
Atk_BulletImpact_Vox-pulse	0.75	0	0	65536	62740
Atk_BulletImpact_Vox-pulse	1.00	0	0	65536	62740
Atk_BulletImpact_Vox-pulse	1.50	0	0	65536	62740
Atk_BulletImpact_Vox-pulse	2.00	0	0	65536	62740
Atk_BulletImpact_Vox-pulse	3.00	0	0	65536	62740
Atk_BulletImpact_Vox-pulse digital	0.15	21	21	65536	62757
Atk_BulletImpact_Vox-pulse digital	0.30	40	37	65536	62771
Atk_BulletImpact_Vox-pulse digital	0.50	0	0	65536	62740
Atk_BulletImpact_Vox-pulse digital	0.75	0	0	65536	62740
Atk_BulletImpact_Vox-pulse digital	1.00	0	0	65536	62740
Atk_BulletImpact_Vox-pulse digital	1.50	0	0	65536	62740
