effect	px	py	pz	lx	ly	lz	fov	near	far	_
Acid Rain Damage Target	0	-1.31799984	-37.3011475	0	-1.31799984	0	40	0.01	1180.5658	0
AcidSpraySweepAttack	-8.293725	-0.7360749	-66.00653	-8.293725	-0.7360749	0.6746845	40	0.01	2110.43286	0
Air to Ground Big	-1.797246	-0.330913544	-53.78668	-1.797246	-0.330913544	0	40	0.01	1702.326	0
AlphaWarriorEffect	-0.000120162964	0.413781643	-29.1789989	-0.000120162964	0.413781643	0.103284359	40	0.01	926.7721	0
AmbushEffect	0	-0.00159978867	-22.1125984	0	-0.00159978867	0.04460001	40	0.01	701.2662	0
Antimatter Explosion	0.05139351	-0.326601267	-8.664024	0.05139351	-0.326601267	0.0533508062	40	0.01	275.9013	0
Arco-Flagellant Strike	0.360222816	-0.009130955	-29.3940887	0.360222816	-0.009130955	0	40	0.01	930.3107	0
ArdAsNailsEffect	0	-1.109385	-39.3267441	0	-1.109385	0.40426445	40	0.01	1257.47	0
Armor_Necron	0	0.2706132	-19.5219841	0	0.2706132	-0.533251762	40	0.01	600.9855	0
ArmourEffect	0	-1.22625017	-21.166853	0	-1.22625017	1.05793715	40	0.01	703.405457	0
ArmourEffect_Bladeguard_Shield	0	-0.8062506	-40.979702	0	-0.8062506	1.7708745	40	0.01	1353.03809	0
ArmourEffect_Nurgle	0	-0.81799984	-58.3158722	0	-0.81799984	0	40	0.01	1845.67322	0
ArtificeEffect	-0.235900044	-0.2563858	-10.6100616	-0.235900044	-0.2563858	0.1032635	40	0.01	339.0723	0
Artillery Ground	0	2.17001438	-41.28155	0	2.17001438	0	40	0.01	1306.54407	0
Artillery Manticore down 1x	9.393692E-05	-4.832245	-78.97423	9.393692E-05	-4.832245	0	40	0.01	2499.50171	0
Artillery Manticore down 2x spread	2.57403088	-3.158661	-86.63968	2.57403088	-3.158661	-1.18089676	40	0.01	2704.735	0
Artillery Manticore down 4x	9.393692E-05	-3.500002	-86.490654	9.393692E-05	-3.500002	0	40	0.01	2737.393	0
Artillery Manticore down 4x spread	2.55169773	-1.10737991	-93.6925659	2.55169773	-1.10737991	-0.7316141	40	0.01	2942.17554	0
Artillery Manticore up 2x	0	23.0057487	-87.3735046	0	23.0057487	0.0454998	40	0.01	2766.77539	0
Artillery Manticore up 4x	0	23.0057487	-87.50573	0	23.0057487	0.0454998	40	0.01	2770.96021	0
Atk_BulletImpact_Vox-pulse	-0.2867725	0.159999967	-112.579773	-0.2867725	0.159999967	49.44994	40	0.01	5128.173	0
Atk_BulletImpact_Vox-pulse digital	-0.2870052	0.159999967	-112.578705	-0.2870052	0.159999967	49.4501762	40	0.01	5128.147	0
Atk_BulletImpact_Vox-pulse purple	-0.2867725	0.159999967	-112.579773	-0.2867725	0.159999967	49.44994	40	0.01	5128.173	0
Atk_ChemVial_2	-0.1046499	0.159999967	-7.24108362	-0.1046499	0.159999967	0	40	0.01	229.177277	0
Atk_ExileGlaiveThrow Movement	0	0	-19.4319267	0	0	0	40	0.01	615.0124	0
Atk_GrotGrenade	0	0	-19.4319267	0	0	0	40	0.01	615.0124	0
Atk_GrotGrenade_big	0	0	-19.4319267	0	0	0	40	0.01	615.0124	0
Atk_GrotRock	0	0	-19.4319267	0	0	0	40	0.01	615.0124	0
Atk_HelspearThrow Movement	0	0	-19.4319267	0	0	0	40	0.01	615.0124	0
Atk_JainasMor	0.0260000229	0.325000048	-19.74369	0.0260000229	0.325000048	-0.190500021	40	0.01	618.850342	0
Atk_KrootJavelinThrow Movement	0	0	-19.4319267	0	0	0	40	0.01	615.0124	0
Atk_Rokkit-Harpoon big	0	0	-19.7084579	0	0	0.315443754	40	0.01	633.748169	0
Atk_Rokkit-Harpoon small	0	0	-19.7084579	0	0	0.315443754	40	0.01	633.748169	0
Atk_StikkaThrow Movement	0	0	-9.715963	0	0	0	40	0.01	307.5062	0
Attack_Stomp	0	0	-24.4980145	0	0	-0.5231881	40	0.01	758.793335	0
AttackHitSmall	0	0	-145.707611	0	0	0	40	0.01	4611.58545	0
AttackSquigEffect	-9.15527344E-05	0	-1751.39868	-9.15527344E-05	0	0.289001465	40	0.01	55440.1875	0
Aura_WhileInPlay_1	0	-1.31	-23.3134842	0	-1.31	0	40	0.01	737.8621	0
Aura_WhileInPlay_2	0	-1.31	-23.3134842	0	-1.31	0	40	0.01	737.8621	0
Axe_Slash_User_SW	0.8101001	-0.440000057	-26.10025	0.8101001	-0.440000057	0	40	0.01	826.062134	0
BacklashEffect	-0.339435339	-0.121970177	-14.2598629	-0.339435339	-0.121970177	0	40	0.01	451.318726	0
Backstab Dagger	0.0334348679	-0.106562614	-26.264864	0.0334348679	-0.106562614	-1.117485	40	0.01	795.9041	0
Backstab Dagger Intense	0.0334348679	-0.106562614	-26.264864	0.0334348679	-0.106562614	-1.117485	40	0.01	795.9041	0
BansheeHowl	0	0.360039949	-18.7072563	0	0.360039949	0.4000001	40	0.01	604.7367	0
BansheeHowl_blood	0	1.33375025	-21.0082474	0	1.33375025	0.4000001	40	0.01	677.562134	0
BansheeHowl_blood glow	0	1.33375025	-21.0082474	0	1.33375025	0.4000001	40	0.01	677.562134	0
BansheeHowl_warlord	0	0.360039949	-18.7072563	0	0.360039949	0.4000001	40	0.01	604.7367	0
Basic_army_BL	0	-1.47000027	-51.02639	0	-1.47000027	0	40	0.01	1614.96411	0
Basic_army_DA	0	-0.6300001	-51.02639	0	-0.6300001	0	40	0.01	1614.96411	0
Basic_army_DA_Intense	0	-0.6300001	-51.02639	0	-0.6300001	0	40	0.01	1614.96411	0
Basic_army_DA_Intense_Secret	0	-0.6300001	-51.02639	0	-0.6300001	0	40	0.01	1614.96411	0
Basic_army_DA_NoIcon	0	-0.6300001	-51.0264	0	-0.6300001	0	40	0.01	1614.96448	0
Basic_army_GSC	0	-1.20120049	-55.62336	0	-1.20120049	0	40	0.01	1760.4563	0
Basic_army_GSC_intense	0	-1.47000027	-51.02639	0	-1.47000027	0	40	0.01	1614.96411	0
Basic_army_GSC_Jackal	0	-1.20120049	-55.62336	0	-1.20120049	0	40	0.01	1760.4563	0
Basic_army_GSC_shake	0	-1.16520023	-55.62336	0	-1.16520023	0	40	0.01	1760.4563	0
Basic_army_Guard	0	-1.3380003	-37.3011475	0	-1.3380003	0	40	0.01	1180.5658	0
Basic_army_Guard Board	9.536743E-07	-1.3380003	-47.78048	9.536743E-07	-1.3380003	0	40	0.01	1512.23242	0
Basic_army_Guard Digital	0	-1.12202883	-28.3756237	0	-1.12202883	0	40	0.01	898.0767	0
Basic_army_Guard Intense	0	-1.3253994	-37.3444824	0	-1.3253994	-0.007200718	40	0.01	1181.70947	0
Basic_army_Guard_quick	0	0.09000015	-16.7855186	0	0.09000015	0	40	0.01	531.2547	0
Basic_army_Guard_quick Master of Ordnance	0	0.09000015	-16.7855186	0	0.09000015	0	40	0.01	531.2547	0
Basic_army_UM	0	-1.47000027	-51.02639	0	-1.47000027	0	40	0.01	1614.96411	0
Basic_army_UM_Chainsword	0	-1.47000027	-51.02639	0	-1.47000027	0	40	0.01	1614.96411	0
Basic_army_UM_Chant	0	-1.47000027	-51.02639	0	-1.47000027	0	40	0.01	1614.96411	0
Basic_army_UM_chaplain	0	-1.47000027	-51.02639	0	-1.47000027	0	40	0.01	1614.96411	0
Basic_army_UM_Guilliman	0	-1.47000027	-63.56957	0	-1.47000027	0	40	0.01	2011.95044	0
Basic_army_UM_Hammer	0	-1.47000027	-51.02639	0	-1.47000027	0	40	0.01	1614.96411	0
Basic_army_UM_Pre-Effect	0	-1.3380003	-37.3011475	0	-1.3380003	0	40	0.01	1180.5658	0
Basic_army_UM_quick	0	-1.47000027	-50.93039	0	-1.47000027	0.09599972	40	0.01	1614.96411	0
BeastSnagga_Summon	0	-11.6525955	-76.37899	0	-11.6525955	0	40	0.01	2417.36328	0
BigKrumpaKlawEffect	0.000121593475	0.0440592766	-22.05255	0.000121593475	0.0440592766	0.114126682	40	0.01	701.5661	0
Birth of a Saga	9.494208	-7.588627	-80.0354462	9.494208	-7.588627	0.38676095	40	0.01	2545.32959	0
BlackCrusade_Battleground	0	-0.23400116	-252.559921	0	-0.23400116	0	40	0.01	7993.4165	0
BlackCrusade_Battleground repeat	0	0	-252.359924	0	0	0.200000763	40	0.01	7993.4165	0
Blacksword_Missile_offscreen	-15.1982384	-16.3317642	-176.127655	-15.1982384	-16.3317642	5.509263	40	0.01	5748.733	0
Blacksword_Missile_volley	21.7863178	21.292717	-28.4477119	21.7863178	21.292717	-8.177437	40	0.01	641.5458	0
Blast_Big_Ork	1.93322325	-8.16554451	-47.9457932	1.93322325	-8.16554451	3.049611	40	0.01	1613.9834	0
Blast_Big_Ork_Missiles	2.08473825	-8.16554451	-47.8035545	2.08473825	-8.16554451	3.04099178	40	0.01	1609.20886	0
Blast_Plasma	3.244446	-0.184001446	-87.8473358	3.244446	-0.184001446	-4.94547272	40	0.01	2623.80957	0
Blast_Plasma_Helbrute	-0.940000057	0.332000017	-67.25701	-0.940000057	0.332000017	0.3321972	40	0.01	2139.17041	0
Blast_Plasma_MegaBlasta	-0.940000057	-0.184000492	-87.86289	-0.940000057	-0.184000492	-4.94547272	40	0.01	2624.302	0
Blast_Plasma_Sentinel	-0.940000057	0.332000017	-59.2961578	-0.940000057	0.332000017	2.29656982	40	0.01	1949.38428	0
Blast_Plasma_Sentinel_twinlink	-0.7499156	0.332000017	-59.4839058	-0.7499156	0.332000017	2.30873871	40	0.01	1955.71155	0
BlastEffect	0	-0.655670166	-76.16727	0	-0.655670166	0	40	0.01	2410.66235	0
Blind_continuous_effect	0	0	-11.6566105	0	0	0	40	0.01	368.92688	0
BlindEffect	0.0259332657	0.7050023	-25.3774948	0.0259332657	0.7050023	0	40	0.01	803.1872	0
BloodThirstEffect	0	-1.30000019	-29.9446125	0	-1.30000019	0	40	0.01	947.734558	0
BloodThirstEffect_continuous	0	0.0236145258	-9.892296	0	0.0236145258	0.125	40	0.01	317.043243	0
BloodThirstEffect_Gain	0	-1.30000019	-23.31322	0	-1.30000019	1.43051147E-06	40	0.01	737.85376	0
BloodThirstEffect_Idle	0	0.05799997	-9.29987	0	0.05799997	0.100000024	40	0.01	297.501984	0
BloodThirstEffect_Lose	0	0.2424804	-9.744073	0	0.2424804	0.1032635	40	0.01	311.664124	0
BloodySplash	0.536977768	-5.911153	-51.4865837	0.536977768	-5.911153	-0.271180153	40	0.01	1620.94629	0
BlueSummonCircle	0	0.01999998	-23.3132172	0	0.01999998	0	40	0.01	737.853638	0
Bolter Casing_Imperial	2.86706	-0.329434276	-10.3847466	2.86706	-0.329434276	0.641415238	40	0.01	348.97345	0
Bolter Casing_Orks	3.148492	-3.05362988	-16.9310265	3.148492	-3.05362988	0.84270364	40	0.01	562.5311	0
Bolter Casing_Traitor	3.15980077	-3.05362988	-17.0033321	3.15980077	-3.05362988	0.854012251	40	0.01	565.1775	0
BolterSweep	-3.51201344	-4.5674243	-33.47456	-3.51201344	-4.5674243	5.27877665	40	0.01	1226.5271	0
BolterSweep_2	-3.772953	-4.5674243	-34.2048264	-3.772953	-4.5674243	5.535345	40	0.01	1257.75989	0
Bore Through	-1.1179781	0.1869905	-15.9638042	-1.1179781	0.1869905	-0.7046795	40	0.01	482.944977	0
Bore Through Intense	-1.18937016	-0.4725001	-18.304245	-1.18937016	-0.4725001	-0.526627541	40	0.01	562.6542	0
Buff EC On Warlord When Creating Card	0	-1.34000015	-38.8553619	0	-1.34000015	0	40	0.01	1229.7561	0
Buff EC Pink Twirl	0	-1.30000019	-38.8553619	0	-1.30000019	0	40	0.01	1229.7561	0
Buff EC Pink Twirl Intense	0	-1.19	-38.8553619	0	-1.19	0	40	0.01	1229.7561	0
Buff EC Stimulate	0	-1.2249999	-38.8553619	0	-1.2249999	0	40	0.01	1229.7561	0
Buff EC Stimulate passive	-0.186389685	-0.1181891	-6.99488354	-0.186389685	-0.1181891	-0.626988232	40	0.01	201.541229	0
Buff_BL_Intense	0	-1.3380003	-69.93965	0	-1.3380003	0	40	0.01	2213.56079	0
Buff_Blue	0	-1.46999979	-43.736908	0	-1.46999979	0	40	0.01	1384.255	0
Buff_Blue_SW	0	-1.47000027	-47.67717	0	-1.47000027	0	40	0.01	1508.96265	0
Buff_Blue_SW_Intense	0	-1.47000027	-47.67717	0	-1.47000027	0	40	0.01	1508.96265	0
Buff_Blue_SW_Wolf	0	-1.47000027	-47.67717	0	-1.47000027	0	40	0.01	1508.96265	0
Buff_Blue_Tau	0	-1.46999979	-43.736908	0	-1.46999979	0	40	0.01	1384.255	0
Buff_Blue_Tau_quick	0	-1.46999979	-43.736908	0	-1.46999979	0	40	0.01	1384.255	0
Buff_Chaos_Star	0	-1.47000027	-51.22639	0	-1.47000027	-0.199999809	40	0.01	1614.96411	0
Buff_DA_Forest_Self	0	-1.30999947	-37.3011475	0	-1.30999947	0	40	0.01	1180.5658	0
