effect	time	lit	sum	lit_srgb	sum_srgb
Acid Rain Damage Target	0.15	0	0	65536	62740
Acid Rain Damage Target	0.30	0	0	65536	62740
Acid Rain Damage Target	0.50	16	9	65536	62747
Acid Rain Damage Target	0.75	30	17	65536	62754
Acid Rain Damage Target	1.00	39	20	65536	62756
Acid Rain Damage Target	1.50	225	132	65536	62844
Acid Rain Damage Target	2.00	6	2	65536	62744
Acid Rain Damage Target	3.00	0	0	65536	62740
AcidSpraySweepAttack	0.15	31	23	65536	62759
AcidSpraySweepAttack	0.30	73	74	65536	62798
AcidSpraySweepAttack	0.50	77	74	65536	62798
AcidSpraySweepAttack	0.75	84	83	65536	62806
AcidSpraySweepAttack	1.00	105	98	65536	62817
AcidSpraySweepAttack	1.50	74	68	65536	62794
AcidSpraySweepAttack	2.00	69	71	65536	62798
AcidSpraySweepAttack	3.00	75	82	65536	62806
Air to Ground Big	0.15	266	222	65536	62900
Air to Ground Big	0.30	268	236	65536	62910
Air to Ground Big	0.50	101	93	65536	62806
Air to Ground Big	0.75	101	93	65536	62806
Air to Ground Big	1.00	358	371	65536	63006
Air to Ground Big	1.50	450	483	65536	63089
Air to Ground Big	2.00	0	0	65536	62740
Air to Ground Big	3.00	0	0	65536	62740
AlphaWarriorEffect	0.15	573	645	65536	63255
AlphaWarriorEffect	0.30	733	742	65535	63299
AlphaWarriorEffect	0.50	1027	881	65536	63369
AlphaWarriorEffect	0.75	899	630	65535	63163
AlphaWarriorEffect	1.00	164	32	65534	62668
AlphaWarriorEffect	1.50	0	0	65536	62744
AlphaWarriorEffect	2.00	0	0	65536	62740
AlphaWarriorEffect	3.00	0	0	65536	62740
AmbushEffect	0.15	40	22	65536	62735
AmbushEffect	0.30	57	29	65536	62721
AmbushEffect	0.50	75	32	65536	62707
AmbushEffect	0.75	647	732	65536	63282
AmbushEffect	1.00	826	659	65536	63171
AmbushEffect	1.50	701	427	65536	63019
AmbushEffect	2.00	0	0	65536	62740
AmbushEffect	3.00	0	0	65536	62740
Antimatter Explosion	0.15	0	0	65536	62740
Antimatter Explosion	0.30	389	433	65536	63072
Antimatter Explosion	0.50	586	605	65536	63201
Antimatter Explosion	0.75	575	638	65536	63224
Antimatter Explosion	1.00	660	1039	65536	63492
Antimatter Explosion	1.50	2722	3517	65536	65496
Antimatter Explosion	2.00	768	299	65536	62949
Antimatter Explosion	3.00	25	16	65536	62754
Arco-Flagellant Strike	0.15	201	217	65536	62907
Arco-Flagellant Strike	0.30	91	79	65536	62797
Arco-Flagellant Strike	0.50	16	7	65536	62746
Arco-Flagellant Strike	0.75	4	1	65536	62741
Arco-Flagellant Strike	1.00	6	2	65536	62742
Arco-Flagellant Strike	1.50	0	0	65536	62741
Arco-Flagellant Strike	2.00	0	0	65536	62740
Arco-Flagellant Strike	3.00	0	0	65536	62740
ArdAsNailsEffect	0.15	524	623	65536	63178
ArdAsNailsEffect	0.30	876	801	65536	63329
ArdAsNailsEffect	0.50	941	688	65536	63201
ArdAsNailsEffect	0.75	857	551	65536	63020
ArdAsNailsEffect	1.00	850	500	65536	62988
ArdAsNailsEffect	1.50	15	12	65536	62751
ArdAsNailsEffect	2.00	1	1	65536	62741
ArdAsNailsEffect	3.00	0	0	65536	62740
Armor_Necron	0.15	0	0	65536	62740
Armor_Necron	0.30	23	8	65536	62745
Armor_Necron	0.50	46	31	65536	62766
Armor_Necron	0.75	59	47	65536	62779
Armor_Necron	1.00	66	50	65536	62781
Armor_Necron	1.50	65	53	65536	62785
Armor_Necron	2.00	49	43	65536	62777
Armor_Necron	3.00	0	0	65536	62740
ArmourEffect	0.15	215	226	65536	62930
ArmourEffect	0.30	838	762	65536	63341
ArmourEffect	0.50	934	886	65536	63442
ArmourEffect	0.75	895	714	65536	63290
ArmourEffect	1.00	443	206	65536	62892
ArmourEffect	1.50	0	0	65536	62740
ArmourEffect	2.00	0	0	65536	62740
ArmourEffect	3.00	0	0	65536	62740
ArmourEffect_Bladeguard_Shield	0.15	73	162	65536	62861
ArmourEffect_Bladeguard_Shield	0.30	96	217	65536	62902
ArmourEffect_Bladeguard_Shield	0.50	155	287	65536	62965
ArmourEffect_Bladeguard_Shield	0.75	163	239	65536	62938
ArmourEffect_Bladeguard_Shield	1.00	162	237	65536	62937
ArmourEffect_Bladeguard_Shield	1.50	935	785	65536	63359
ArmourEffect_Bladeguard_Shield	2.00	78	130	65536	62844
ArmourEffect_Bladeguard_Shield	3.00	0	0	65536	62740
ArmourEffect_Nurgle	0.15	1025	679	65536	63160
ArmourEffect_Nurgle	0.30	1186	729	65536	63127
ArmourEffect_Nurgle	0.50	1027	570	65536	63011
ArmourEffect_Nurgle	0.75	1033	466	65536	62876
ArmourEffect_Nurgle	1.00	834	287	65536	62727
ArmourEffect_Nurgle	1.50	486	108	65536	62633
ArmourEffect_Nurgle	2.00	0	0	65536	62740
ArmourEffect_Nurgle	3.00	0	0	65536	62740
ArtificeEffect	0.15	0	0	65536	62740
ArtificeEffect	0.30	0	0	65536	62740
ArtificeEffect	0.50	0	0	65536	62740
ArtificeEffect	0.75	0	0	65536	62740
ArtificeEffect	1.00	0	0	65536	62740
ArtificeEffect	1.50	0	0	65536	62740
ArtificeEffect	2.00	0	0	65536	62740
ArtificeEffect	3.00	0	0	65536	62740
Artillery Ground	0.15	0	0	65536	62740
Artillery Ground	0.30	0	0	65536	62740
Artillery Ground	0.50	0	0	65536	62740
Artillery Ground	0.75	0	0	65536	62740
Artillery Ground	1.00	1080	1211	65536	63607
Artillery Ground	1.50	0	0	65536	62740
Artillery Ground	2.00	0	0	65536	62740
Artillery Ground	3.00	0	0	65536	62740
Artillery Manticore down 1x	0.15	160	158	65536	62858
Artillery Manticore down 1x	0.30	166	165	65536	62863
Artillery Manticore down 1x	0.50	0	0	65536	62740
Artillery Manticore down 1x	0.75	0	0	65536	62740
Artillery Manticore down 1x	1.00	0	0	65536	62740
Artillery Manticore down 1x	1.50	0	0	65536	62740
Artillery Manticore down 1x	2.00	0	0	65536	62740
Artillery Manticore down 1x	3.00	0	0	65536	62740
Artillery Manticore down 2x spread	0.15	445	515	65536	63127
Artillery Manticore down 2x spread	0.30	964	1067	65536	63540
Artillery Manticore down 2x spread	0.50	382	383	65536	63027
Artillery Manticore down 2x spread	0.75	0	0	65536	62740
Artillery Manticore down 2x spread	1.00	0	0	65536	62740
Artillery Manticore down 2x spread	1.50	0	0	65536	62740
Artillery Manticore down 2x spread	2.00	0	0	65536	62740
Artillery Manticore down 2x spread	3.00	0	0	65536	62740
Artillery Manticore down 4x	0.15	59	60	65536	62785
Artillery Manticore down 4x	0.30	126	126	65536	62835
Artillery Manticore down 4x	0.50	240	226	65536	62906
Artillery Manticore down 4x	0.75	134	133	65536	62840
Artillery Manticore down 4x	1.00	0	0	65536	62740
Artillery Manticore down 4x	1.50	0	0	65536	62740
Artillery Manticore down 4x	2.00	0	0	65536	62740
Artillery Manticore down 4x	3.00	0	0	65536	62740
Artillery Manticore down 4x spread	0.15	403	447	65536	63077
Artillery Manticore down 4x spread	0.30	851	898	65536	63416
Artillery Manticore down 4x spread	0.50	1195	1239	65536	63666
Artillery Manticore down 4x spread	0.75	847	859	65536	63384
Artillery Manticore down 4x spread	1.00	0	0	65536	62740
Artillery Manticore down 4x spread	1.50	0	0	65536	62740
Artillery Manticore down 4x spread	2.00	0	0	65536	62740
Artillery Manticore down 4x spread	3.00	0	0	65536	62740
Artillery Manticore up 2x	0.15	167	147	65536	62852
Artillery Manticore up 2x	0.30	317	280	65536	62950
Artillery Manticore up 2x	0.50	211	161	65536	62858
Artillery Manticore up 2x	0.75	81	31	65536	62761
Artillery Manticore up 2x	1.00	23	9	65536	62749
Artillery Manticore up 2x	1.50	0	0	65536	62740
Artillery Manticore up 2x	2.00	0	0	65536	62740
Artillery Manticore up 2x	3.00	0	0	65536	62740
Artillery Manticore up 4x	0.15	92	78	65536	62799
Artillery Manticore up 4x	0.30	177	156	65536	62858
Artillery Manticore up 4x	0.50	285	256	65536	62931
Artillery Manticore up 4x	0.75	198	159	65536	62857
Artillery Manticore up 4x	1.00	49	18	65536	62752
Artillery Manticore up 4x	1.50	0	0	65536	62741
Artillery Manticore up 4x	2.00	0	0	65536	62740
Artillery Manticore up 4x	3.00	0	0	65536	62740
Atk_BulletImpact_Vox-pulse	0.15	61	49	65536	62780
Atk_BulletImpact_Vox-pulse	0.30	71	49	65536	62781
Atk_BulletImpact_Vox-pulse	0.50	0	0	65536	62740
Atk_BulletImpact_Vox-pulse	0.75	0	0	65536	62740
Atk_BulletImpact_Vox-pulse	1.00	0	0	65536	62740
Atk_BulletImpact_Vox-pulse	1.50	0	0	65536	62740
Atk_BulletImpact_Vox-pulse	2.00	0	0	65536	62740
Atk_BulletImpact_Vox-pulse	3.00	0	0	65536	62740
Atk_BulletImpact_Vox-pulse digital	0.15	32	31	65536	62765
Atk_BulletImpact_Vox-pulse digital	0.30	69	59	65536	62788
Atk_BulletImpact_Vox-pulse digital	0.50	0	0	65536	62740
Atk_BulletImpact_Vox-pulse digital	0.75	0	0	65536	62740
Atk_BulletImpact_Vox-pulse digital	1.00	0	0	65536	62740
Atk_BulletImpact_Vox-pulse digital	1.50	0	0	65536	62740
