effect	time	lit	sum	lit_srgb	sum_srgb
Acid Rain Damage Target	0.15	0	0	65536	62740
Acid Rain Damage Target	0.30	1	1	65536	62741
Acid Rain Damage Target	0.50	12	7	65536	62746
Acid Rain Damage Target	0.75	47	26	65536	62760
Acid Rain Damage Target	1.00	38	20	65536	62756
Acid Rain Damage Target	1.50	185	113	65536	62831
Acid Rain Damage Target	2.00	37	13	65536	62753
Acid Rain Damage Target	3.00	0	0	65536	62740
AcidSpraySweepAttack	0.15	26	19	65536	62757
AcidSpraySweepAttack	0.30	51	31	65536	62765
AcidSpraySweepAttack	0.50	67	38	65536	62770
AcidSpraySweepAttack	0.75	71	38	65536	62769
AcidSpraySweepAttack	1.00	63	34	65536	62766
AcidSpraySweepAttack	1.50	64	37	65536	62769
AcidSpraySweepAttack	2.00	71	41	65536	62773
AcidSpraySweepAttack	3.00	60	33	65536	62765
Air to Ground Big	0.15	239	197	65536	62881
Air to Ground Big	0.30	238	209	65536	62890
Air to Ground Big	0.50	78	79	65536	62795
Air to Ground Big	0.75	78	79	65536	62795
Air to Ground Big	1.00	194	187	65536	62875
Air to Ground Big	1.50	225	223	65536	62901
Air to Ground Big	2.00	0	0	65536	62740
Air to Ground Big	3.00	0	0	65536	62740
AlphaWarriorEffect	0.15	563	631	65536	63247
AlphaWarriorEffect	0.30	740	746	65536	63340
AlphaWarriorEffect	0.50	941	866	65536	63437
AlphaWarriorEffect	0.75	806	572	65536	63191
AlphaWarriorEffect	1.00	112	47	65536	62767
AlphaWarriorEffect	1.50	0	0	65536	62741
AlphaWarriorEffect	2.00	0	0	65536	62740
AlphaWarriorEffect	3.00	0	0	65536	62740
AmbushEffect	0.15	39	24	65536	62743
AmbushEffect	0.30	44	37	65536	62732
AmbushEffect	0.50	91	56	65536	62728
AmbushEffect	0.75	582	592	65536	63169
AmbushEffect	1.00	733	505	65536	63066
AmbushEffect	1.50	591	295	65536	62927
AmbushEffect	2.00	0	0	65536	62740
AmbushEffect	3.00	0	0	65536	62740
Antimatter Explosion	0.15	0	0	65536	62740
Antimatter Explosion	0.30	387	364	65536	63027
Antimatter Explosion	0.50	453	450	65536	63094
Antimatter Explosion	0.75	542	474	65536	63115
Antimatter Explosion	1.00	624	976	65536	63460
Antimatter Explosion	1.50	2710	3397	65536	65421
Antimatter Explosion	2.00	550	214	65536	62894
Antimatter Explosion	3.00	107	63	65536	62792
Arco-Flagellant Strike	0.15	208	214	65536	62905
Arco-Flagellant Strike	0.30	97	76	65536	62797
Arco-Flagellant Strike	0.50	10	5	65536	62744
Arco-Flagellant Strike	0.75	0	0	65536	62741
Arco-Flagellant Strike	1.00	0	0	65536	62741
Arco-Flagellant Strike	1.50	0	0	65536	62741
Arco-Flagellant Strike	2.00	0	0	65536	62740
Arco-Flagellant Strike	3.00	0	0	65536	62740
ArdAsNailsEffect	0.15	540	632	65536	63243
ArdAsNailsEffect	0.30	861	991	65536	63532
ArdAsNailsEffect	0.50	1212	1203	65536	63726
ArdAsNailsEffect	0.75	1239	1164	65536	63699
ArdAsNailsEffect	1.00	1162	953	65536	63534
ArdAsNailsEffect	1.50	14	11	65536	62750
ArdAsNailsEffect	2.00	3	2	65536	62742
ArdAsNailsEffect	3.00	0	0	65536	62740
Armor_Necron	0.15	0	0	65536	62740
Armor_Necron	0.30	23	8	65536	62745
Armor_Necron	0.50	49	32	65536	62766
Armor_Necron	0.75	54	45	65536	62778
Armor_Necron	1.00	58	46	65536	62778
Armor_Necron	1.50	68	53	65536	62784
Armor_Necron	2.00	64	51	65536	62782
Armor_Necron	3.00	0	0	65536	62740
ArmourEffect	0.15	220	248	65536	62950
ArmourEffect	0.30	802	743	65536	63325
ArmourEffect	0.50	886	835	65536	63395
ArmourEffect	0.75	898	762	65536	63331
ArmourEffect	1.00	280	131	65536	62837
ArmourEffect	1.50	0	0	65536	62740
ArmourEffect	2.00	0	0	65536	62740
ArmourEffect	3.00	0	0	65536	62740
ArmourEffect_Bladeguard_Shield	0.15	73	160	65536	62860
ArmourEffect_Bladeguard_Shield	0.30	96	217	65536	62902
ArmourEffect_Bladeguard_Shield	0.50	155	288	65536	62966
ArmourEffect_Bladeguard_Shield	0.75	163	241	65536	62940
ArmourEffect_Bladeguard_Shield	1.00	162	240	65536	62939
ArmourEffect_Bladeguard_Shield	1.50	851	650	65536	63270
ArmourEffect_Bladeguard_Shield	2.00	185	109	65536	62821
ArmourEffect_Bladeguard_Shield	3.00	0	0	65536	62740
ArmourEffect_Nurgle	0.15	881	657	65536	63267
ArmourEffect_Nurgle	0.30	910	662	65536	63265
ArmourEffect_Nurgle	0.50	864	599	65536	63210
ArmourEffect_Nurgle	0.75	761	472	65536	63102
ArmourEffect_Nurgle	1.00	509	304	65536	62970
ArmourEffect_Nurgle	1.50	66	27	65536	62763
ArmourEffect_Nurgle	2.00	0	0	65536	62740
ArmourEffect_Nurgle	3.00	0	0	65536	62740
ArtificeEffect	0.15	3041	3233	65536	65269
ArtificeEffect	0.30	3071	3586	65536	65552
ArtificeEffect	0.50	3065	3631	65536	65586
ArtificeEffect	0.75	2938	3019	65536	65092
ArtificeEffect	1.00	730	1316	65536	63726
ArtificeEffect	1.50	0	0	65536	62740
ArtificeEffect	2.00	0	0	65536	62740
ArtificeEffect	3.00	0	0	65536	62740
Artillery Ground	0.15	0	0	65536	62740
Artillery Ground	0.30	0	0	65536	62740
