效果名	分组	判定	亮度比中位	|ln|	置信度	峰值亮点	原版有内容时段	导出有内容时段	寿命差异	单帧旧判定	单帧L1	技术构成	人工备注
Explosion_Ground	C	只有原版有内容 —— 导出整个丢了			高	713	0.15–1.50s	—		对得上	0.0006	精灵图 1发射器	
Godspear Warhead Full	C	只有原版有内容 —— 导出整个丢了			高	510	3.00–3.00s	—		两边都空	0.0000	Mesh粒子 精灵图 多发射器(44) Matcap/抓屏扭曲	
Impact_blunt_lightning_Big	C	只有原版有内容 —— 导出整个丢了			高	2592	0.15–0.50s	—		偏暗	0.0000	精灵图 多发射器(10) 抓屏扭曲	
Impact_blunt_lightning_Big_Recoil	C	只有原版有内容 —— 导出整个丢了			高	2592	0.15–0.50s	—		偏亮	0.0000	精灵图 多发射器(10) 抓屏扭曲	
Spore Explosion	C	只有原版有内容 —— 导出整个丢了			高	1152	0.15–0.30s	—		两边都空	0.0000	精灵图 多发射器(8) 抓屏扭曲	
Sword_Slash_User_DA	C	只有原版有内容 —— 导出整个丢了			高	2464	0.30–0.50s	—		两边都空	0.0000	Mesh粒子 精灵图 5发射器 抓屏扭曲	
Sword_Slash_User_DA No Tween	C	只有原版有内容 —— 导出整个丢了			高	2464	0.30–0.50s	—		两边都空	0.0000	Mesh粒子 精灵图 5发射器 抓屏扭曲	
BlastEffect	C	只有原版有内容 —— 导出整个丢了			中	216	0.15–0.75s	—		只有导出有	0.0134	Mesh粒子 精灵图 多发射器(8) Sprite	
BulletImpact_Tau_Sniper Pulse Rifle	C	只有原版有内容 —— 导出整个丢了			中	400	0.15–0.30s	—		两边都空	0.0000	Mesh粒子 精灵图 多发射器(22) 抓屏扭曲	
Plasma_basic OLD	C	只有原版有内容 —— 导出整个丢了			中	225	0.15–0.15s	—		两边都空	0.0000	精灵图 多发射器(15) 抓屏扭曲	
Plasma_basic_pink OLD	C	只有原版有内容 —— 导出整个丢了			中	225	0.15–0.15s	—		两边都空	0.0000	精灵图 多发射器(15) 抓屏扭曲	
Plasma_blue_pointblank_double	C	只有原版有内容 —— 导出整个丢了			中	240	0.15–1.00s	—		偏暗	0.0006	精灵图 多发射器(15) 抓屏扭曲	
BulletImpact_1shotSniper_trail	C	只有原版有内容 —— 导出整个丢了			低	64	0.15–0.15s	—		两边都空	0.0000	Mesh粒子 精灵图 多发射器(21) Matcap/抓屏扭曲	
BulletImpact_Sororitas_Melta	C	只有原版有内容 —— 导出整个丢了			低	64	0.30–1.00s	—		只有原版有	0.0002	精灵图 多发射器(17) 抓屏扭曲	
BulletImpact_Sororitas_MultiMelta	C	只有原版有内容 —— 导出整个丢了			低	64	0.30–1.00s	—		只有原版有	0.0002	精灵图 多发射器(27) 抓屏扭曲	
BulletImpact_Sororitas_MultiMelta_Junith	C	只有原版有内容 —— 导出整个丢了			低	90	0.30–1.00s	—		偏暗	0.0003	精灵图 多发射器(54) 抓屏扭曲	
BulletImpact_artillery_1shot	C	只有原版有内容 —— 导出整个丢了			低	86	0.30–0.30s	—		偏亮	0.0019	Mesh粒子 精灵图 多发射器(24) Matcap/抓屏扭曲	
BulletImpact_artillery_big	C	只有原版有内容 —— 导出整个丢了			低	86	0.30–0.30s	—		偏亮	0.0019	Mesh粒子 精灵图 多发射器(21) Matcap/抓屏扭曲	
MegaBlasta_Small	C	只有原版有内容 —— 导出整个丢了			低	169	0.15–0.30s	—		两边都空	0.0000	精灵图 多发射器(23) 抓屏扭曲	
PinDownEffect	C	只有原版有内容 —— 导出整个丢了			低	105	0.15–3.00s	—		偏暗	0.0005	Mesh粒子 精灵图 6发射器 Sprite	
Plasma_basic_blue	C	只有原版有内容 —— 导出整个丢了			低	81	0.30–0.30s	—		两边都空	0.0000	精灵图 多发射器(20) 抓屏扭曲	
Plasma_basic_blue_double	C	只有原版有内容 —— 导出整个丢了			低	100	0.15–1.00s	—		只有原版有	0.0014	精灵图 多发射器(21) 抓屏扭曲	
Plasma_basic_blue_triple	C	只有原版有内容 —— 导出整个丢了			低	100	0.15–1.00s	—		只有原版有	0.0003	精灵图 多发射器(21) 抓屏扭曲	
Plasma_basic_blue_twinlink	C	只有原版有内容 —— 导出整个丢了			低	108	0.30–0.30s	—		两边都空	0.0000	精灵图 多发射器(39) 抓屏扭曲	
Plasma_basic_burst_turqoise	C	只有原版有内容 —— 导出整个丢了			低	124	0.30–0.75s	—		对得上	0.0001	精灵图 多发射器(19) 抓屏扭曲	
Plasma_basic_pink	C	只有原版有内容 —— 导出整个丢了			低	81	0.30–0.30s	—		两边都空	0.0000	精灵图 多发射器(18) 抓屏扭曲	
