file	card_id	name	faction	ev	textA	textB	gt_from_filename	werA	werB	cerA	cerB	agree	non_speech	needs_review
Sautekh_Orikan_attack.ogg	SAU5	Orikan the Diviner	Sautekh	attack	Sautekh.	BIRD!						content-word		1
Sautekh_Orikan_cant.ogg	SAU5	Orikan the Diviner	Sautekh	cantdo	This cannot be done.	This cannot be done!						case-punct-only		
Sautekh_Orikan_concede.ogg	SAU5	Orikan the Diviner	Sautekh	concede	Clearly, I need to go back in time and make adjustments.	Clearly, I need to go back in time and make adjustments.						exact		
Sautekh_Orikan_death.ogg	SAU5	Orikan the Diviner	Sautekh	death	ROAR!	*Groans*						content-word		1
Sautekh_Orikan_gen1.ogg	SAU5	Orikan the Diviner	Sautekh	gen1	Your tiny mind is no match for mine.	Your tiny mind is no match for mine.						exact		
Sautekh_Orikan_gen2.ogg	SAU5	Orikan the Diviner	Sautekh	gen2	I have foreseen the future and you wouldn't like it.	I have foreseen the future, and you wouldn't like it.						case-punct-only		
Sautekh_Orikan_gen3.ogg	SAU5	Orikan the Diviner	Sautekh	gen3	A tiny adjustment to my calculations can have sweeping results.	A tiny adjustment to my calculations can have sweeping results.						exact		
Sautekh_Orikan_gen4.ogg	SAU5	Orikan the Diviner	Sautekh	gen4	When the stars are right, I will embrace my true destiny.	When the stars are right, I will embrace my true destiny.						exact		
Sautekh_Orikan_gen5.ogg	SAU5	Orikan the Diviner	Sautekh	gen5	Metriculous planning is all that is needed to propel.	Meticulous planning is all that is needed to prevail.						content-word		1
Sautekh_Orikan_gen6.ogg	SAU5	Orikan the Diviner	Sautekh	gen6	Do you call that a strategy?	Do you call that a strategy?						exact		
Sautekh_Orikan_gen7.ogg	SAU5	Orikan the Diviner	Sautekh	gen7	Embrace the futility of your actions if you must.	Embrace the futility of your actions if you must.						exact		
Sautekh_Orikan_greet.ogg	SAU5	Orikan the Diviner	Sautekh	greet	My name has been written throughout the eons.	My name has been written throughout the eons.						exact		
Sautekh_Orikan_hurry.ogg	SAU5	Orikan the Diviner	Sautekh	hurry	I have time, but not patience.	I have time, but not patience.						exact		
Sautekh_Orikan_intro.ogg	SAU5	Orikan the Diviner	Sautekh	intro	Time is my weapon. Your pitiful mortality will be your ruin.	Time is my weapon. Your pitiful mortality will be your ruin.						exact		
Sautekh_Orikan_mirror.ogg	SAU5	Orikan the Diviner	Sautekh	mirror	In time you will rot, but I will still be here!	In time you will rot, but I will still be here!						exact		
Sautekh_Orikan_threat.ogg	SAU5	Orikan the Diviner	Sautekh	threat	Do what you will, you will soon be forgotten.	Do what you will. You will soon be forgotten.						case-punct-only		
Sautekh_Orikan_vsAbaddon.ogg	SAU5	Orikan the Diviner	Sautekh	vsabaddon	Only a fool uses the same strategy over and over again.	Only a fool uses the same strategy over and over again.						exact		
Sautekh_Orikan_vsAeldari.ogg	SAU5	Orikan the Diviner	Sautekh	vsaeldari	Long live degenerates, your time is long gone.	Long live degenerates. Your time is long gone.						case-punct-only		
Sautekh_Orikan_vsCadia.ogg	SAU5	Orikan the Diviner	Sautekh	vscadia	You live such short lives, why even bother?	You live such short lives, why even bother?						exact		
Sautekh_Orikan_vsImotekh.ogg	SAU5	Orikan the Diviner	Sautekh	vsimotekh	You'll find that the stars are aligned with me.	You'll find that the stars are aligned with me.						exact		
Sautekh_Orikan_vsTBC.ogg	SAU5	Orikan the Diviner	Sautekh	vstbc	Morpati is a concept I have not struggled with in millennia.	Mortality is a concept I have not struggled with in millennia.						content-word		1
Sautekh_Orikan_vsTrazyn.ogg	SAU5	Orikan the Diviner	Sautekh	vstrazyn	Are millennia of humiliation not enough for you?	Are millennial accumulation not enough for you?						content-word		1
Sautekh_Orikan_wp.ogg	SAU5	Orikan the Diviner	Sautekh	wp	You defied my predictions, and I must respect that.	You defied my predictions and I must respect that.						case-punct-only		
Sautekh_Zahndrekh_attack.ogg	SAU3	Nemesor Zahndrekh	Sautekh	attack	NYEAH!	NYEAH!						exact		
Sautekh_Zahndrekh_cant.ogg	SAU3	Nemesor Zahndrekh	Sautekh	cantdo	I cannot do that.	I cannot do that!						case-punct-only		
Sautekh_Zahndrekh_concede.ogg	SAU3	Nemesor Zahndrekh	Sautekh	concede	My legions will be reborn and your defeat is inevitable.	My legions will be reborn and your defeat is inevitable!						case-punct-only		
Sautekh_Zahndrekh_death.ogg	SAU3	Nemesor Zahndrekh	Sautekh	death	YAH!	YAAAHHHHH!						content-word		1
Sautekh_Zahndrekh_gen1.ogg	SAU3	Nemesor Zahndrekh	Sautekh	gen1	A moment's reflection begets my victory.	A moment's reflection begets my victory.						exact		
Sautekh_Zahndrekh_gen2.ogg	SAU3	Nemesor Zahndrekh	Sautekh	gen2	My mind has forged strategies since time immemorial.	My mind has forged strategies since time immemorial.						exact		
Sautekh_Zahndrekh_gen3.ogg	SAU3	Nemesor Zahndrekh	Sautekh	gen3	Only an immortal mind can see infinite possibilities.	Only an immortal mind can see infinite possibilities.						exact		
Sautekh_Zahndrekh_gen4.ogg	SAU3	Nemesor Zahndrekh	Sautekh	gen4	Your actions are lacking in logic and focus.	Your actions are lacking in logic and focus.						exact		
Sautekh_Zahndrekh_gen5.ogg	SAU3	Nemesor Zahndrekh	Sautekh	gen5	In a tangled web of outcomes, I will find the way.	In a tangled web of outcomes, I will find the way.						exact		
Sautekh_Zahndrekh_gen6.ogg	SAU3	Nemesor Zahndrekh	Sautekh	gen6	It is a source of consternation that none can match me.	It is a source of consternation that none can match me.						exact		
Sautekh_Zahndrekh_gen7.ogg	SAU3	Nemesor Zahndrekh	Sautekh	gen7	I am eternal. Victory shall be mine.	I am eternal. Victory shall be mine.						exact		
Sautekh_Zahndrekh_greet.ogg	SAU3	Nemesor Zahndrekh	Sautekh	greet	I would introduce myself, but you are not worthy of it.	I would introduce myself, but you are not worthy of it.						exact		
Sautekh_Zahndrekh_hurry.ogg	SAU3	Nemesor Zahndrekh	Sautekh	hurry	Our time runs short.	Our time runs short.						exact		
Sautekh_Zahndrekh_intro.ogg	SAU3	Nemesor Zahndrekh	Sautekh	intro	Ready my legions! A glorious victory will be mine!	Ready my legions! A glorious victory will be mine!						exact		
Sautekh_Zahndrekh_mirror.ogg	SAU3	Nemesor Zahndrekh	Sautekh	mirror	No tricks or illusions will ever fool me.	No tricks or illusions will ever fool me.						exact		
Sautekh_Zahndrekh_threat.ogg	SAU3	Nemesor Zahndrekh	Sautekh	threat	An inferior opponent can be crushed without a moment's thought.	An inferior opponent can be crushed without a moment's thought.						exact		
Sautekh_Zahndrekh_vs_Grukk.ogg	SAU3	Nemesor Zahndrekh	Sautekh	line	Roaring like savages does not bring victory, only crashing defeat.	Roaring like savages does not bring victory, only crushing defeat.						content-word		1
Sautekh_Zahndrekh_vs_Tau.ogg	SAU3	Nemesor Zahndrekh	Sautekh	line	Your empire is short-lived, a footnote in the annals of necrontary history.	Your empire is short lived. A footnote in the annals of Necrontier history.						content-word		1
Sautekh_Zahndrekh_vs_Tyranid.ogg	SAU3	Nemesor Zahndrekh	Sautekh	line	A foe that evolves its strategy is the most satisfying to defeat.	A foe that evolves its strategy is the most satisfying to defeat.						exact		
Sautekh_Zahndrekh_vs_Ultramarine.ogg	SAU3	Nemesor Zahndrekh	Sautekh	line	An over-reliance on brute force and weaponry will be your downfall.	An over-reliance on brute force and weaponry will be your downfall.						exact		
Sautekh_Zahndrekh_wp.ogg	SAU3	Nemesor Zahndrekh	Sautekh	wp	It is rare that I encounter one who can defeat me.	It is rare that I encounter one who can defeat me.						exact		
VO_ADS_Aestred Thurga - My soul is consecrated to this relic.ogg	SOR26	Aestred-Thurga	Sororitas	line	My soul is consecrated to this relic.	My soul is consecrated to this relic.	My soul is consecrated to this relic	0.000		0.000		exact		
VO_ADS_Amalia Novena - Strike fierce and true For the Emperor.ogg	SOR14	Amalia Novena	Sororitas	line	Strike fierce and true for the Emperor!	Strike fierce and true for the Emperor!	Strike fierce and true For the Emperor	0.000		0.000		exact		
VO_ADS_Arco-flagellant - Frenzied screams.ogg	SOR8	Arco-Flagellant	Sororitas	line	No!	Yeah!						content-word		1
VO_ADS_Armorium Cherub - Heavy humming.ogg	SOR67	Armorium Cherub	Sororitas	line			Heavy humming					both-empty	stage-direction	
VO_ADS_Battle Sister - With unwavering faith.ogg	SOR9	Battle Sister	Sororitas	line	With unwavering faith!	With unwavering faith!	With unwavering faith	0.000		0.000		exact		
VO_ADS_Battle Sister Gunner - Purge the unclean.ogg	SOR10	Battle Sister Gunner	Sororitas	line	Purge the unclean!	Purge the unclean!	Purge the unclean	0.000		0.000		exact		
VO_ADS_Battle Sister Superior - Bolters ready Sisters No mercy for the faithless.ogg	SOR25	Sister Superior	Sororitas	line	Balters ready, sisters! No mercy for the Faithless!	Balthas ready, sisters! No mercy for the faithless!	Bolters ready Sisters No mercy for the faithless	0.125		0.024		content-word		1
VO_ADS_Canoness - We bring righteousness where it is needed most.ogg	SOR27	Canoness	Sororitas	line	We bring righteousness where it is needed most.	We bring righteousness where it is needed most.	We bring righteousness where it is needed most	0.000		0.000		exact		
VO_ADS_Canoness Adelaide the Serene - All that you are and all you have done revolts me.ogg	SOR72	Adelaide the Serene	Sororitas	line	All that you are and all you have done revolts me.	All that you are and all you have done revolts me.	All that you are and all you have done revolts me	0.000		0.000		exact		
VO_ADS_Castigator - You will be punished.ogg	SOR73	Castigator	Sororitas	line	You will be punished.	You will be punished.	You will be punished	0.000		0.000		exact		
VO_ADS_Celestian - I have seen worse I have vanquished worse.ogg	SOR15	Celestian	Sororitas	line	I have seen worse. I have vanquished worse.	I have seen worse. I have vanquished worse.	I have seen worse I have vanquished worse	0.000		0.000		exact		
VO_ADS_Celestian Sacresant - Purge this place of the unclean and the damned.ogg	SOR31	Celestian Sacresant	Sororitas	line	Purge this place of the unclean and the damned!	Purge this place of the unclean and the damned!	Purge this place of the unclean and the damned	0.000		0.000		exact		
VO_ADS_Celestian Sacresant Aveline_Backup1.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	backup1	You are no one.	You are no one.						exact		
VO_ADS_Celestian Sacresant Aveline_Backup2.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	backup2	Something is amiss.	Something is amiss.						exact		
VO_ADS_Celestian Sacresant Aveline_Backup3.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	backup3	The time of war is at hand!	The time of war is at hand.						case-punct-only		
VO_ADS_Celestian Sacresant Aveline_Backup4.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	backup4	God Emperor, make me the instrument of your wrath!	God Emperor, make me the instrument of your wrath!						exact		
VO_ADS_Celestian Sacresant Aveline_attack.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	attack	Ha!	Ha!						exact		
VO_ADS_Celestian Sacresant Aveline_cantDo.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	cantdo	That is not an option!	That is not an option.						case-punct-only		
VO_ADS_Celestian Sacresant Aveline_concede.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	concede	The God Emperor is with us until the very end!	The God Emperor is with us until the very end!						exact		
VO_ADS_Celestian Sacresant Aveline_death.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	death	Uuuuugh!	Oh!						content-word		1
VO_ADS_Celestian Sacresant Aveline_gen1.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	gen1	Let this be a just punishment for your sins.	Let this be a just punishment for your sins.						exact		
VO_ADS_Celestian Sacresant Aveline_gen2.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	gen2	Pussy, no quarter, for they shall give us none!	No mercy! No quarter! For they shall give us none!						content-word		1
VO_ADS_Celestian Sacresant Aveline_gen3.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	gen3	Only the faithless despair, only the righteous shall endure.	Only the faithless despair. Only the righteous shall endure.						case-punct-only		
VO_ADS_Celestian Sacresant Aveline_gen4.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	gen4	God Emperor, be with us now!	God Emperor, be with us now!						exact		
VO_ADS_Celestian Sacresant Aveline_gen5.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	gen5	Prepare your soul for judgement!	Prepare your soul for judgment!						content-word		1
VO_ADS_Celestian Sacresant Aveline_gen6.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	gen6	Say, Terabella, watch over us, this battle!	Say, Terrabella, watch over us this battle!						content-word		1
VO_ADS_Celestian Sacresant Aveline_gen7.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	gen7	There will be no forgiveness for you.	There will be no forgiveness for you.						exact		
VO_ADS_Celestian Sacresant Aveline_greet.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	greet	I have come to deliver you the God Emperor's judgment.	I have come to deliver you the God Emperor's judgment.						exact		
VO_ADS_Celestian Sacresant Aveline_hurry.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	hurry	Time is in short supply.	Time is in short supply.						exact		
VO_ADS_Celestian Sacresant Aveline_intro.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	intro	The God Emperor is with me!	The God Emperor is with me!						exact		
VO_ADS_Celestian Sacresant Aveline_mirror.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	mirror	God Emperor, grant us your holy wrath!	Good Emperor, grant us your holy wrath!						content-word		1
VO_ADS_Celestian Sacresant Aveline_threat.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	threat	I will cast you into the pyre where you belong.	I will cast you into the pyre where you belong.						exact		
VO_ADS_Celestian Sacresant Aveline_vsDaemon.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	vsdaemon	Face me, Abomination!	Face me, abomination!						case-punct-only		
VO_ADS_Celestian Sacresant Aveline_vsMorvenn.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	vsmorvenn	Under his fire, the wicked will be judged!	Under his fire, the wicked will be judged.						case-punct-only		
VO_ADS_Celestian Sacresant Aveline_vsNL.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	vsnl	Saint Arabella freed us from fear. Your threats mean nothing, wretch.	Saint Arabella freed us from fear. Your threats mean nothing, wretch.						exact		
VO_ADS_Celestian Sacresant Aveline_vsSylar.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	vssylar	I will take you down, sorcerer!	I will take you down, sorcerer!						exact		
VO_ADS_Celestian Sacresant Aveline_wp.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	wp	A moment slaps in concentration, nothing more.	A moment slaps in concentration. Nothing more.						case-punct-only		
