file	card_id	name	faction	ev	text	avg_logprob	no_speech_prob	duration_s	elapsed_s	gt_from_filename	retry_no_vad	repaired	clean_flag
Sautekh_Zahndrekh_attack.ogg	SAU3	Nemesor Zahndrekh	Sautekh	attack	NYEAH!	0.0	0.0	0.908	1.53		1		
Sautekh_Zahndrekh_cant.ogg	SAU3	Nemesor Zahndrekh	Sautekh	cantdo	I cannot do that.	0.0	0.0	1.367	1.39		0		
Sautekh_Zahndrekh_concede.ogg	SAU3	Nemesor Zahndrekh	Sautekh	concede	My legions will be reborn and your defeat is inevitable.	0.0	0.0	3.713	1.56		0		
Sautekh_Zahndrekh_death.ogg	SAU3	Nemesor Zahndrekh	Sautekh	death	YAH!	0.0	0.0	1.881	1.4		0		
Sautekh_Zahndrekh_gen1.ogg	SAU3	Nemesor Zahndrekh	Sautekh	gen1	A moment's reflection begets my victory.	0.0	0.0	3.385	1.45		0		
Sautekh_Zahndrekh_gen2.ogg	SAU3	Nemesor Zahndrekh	Sautekh	gen2	My mind has forged strategies since time immemorial.	0.0	0.0	4.041	1.45		0		
Sautekh_Zahndrekh_gen3.ogg	SAU3	Nemesor Zahndrekh	Sautekh	gen3	Only an immortal mind can see infinite possibilities.	0.0	0.0	4.501	1.46		0		
Sautekh_Zahndrekh_gen4.ogg	SAU3	Nemesor Zahndrekh	Sautekh	gen4	Your actions are lacking in logic and focus.	0.0	0.0	3.568	1.44		0		
Sautekh_Zahndrekh_gen5.ogg	SAU3	Nemesor Zahndrekh	Sautekh	gen5	In a tangled web of outcomes, I will find the way.	0.0	0.0	5.145	1.53		0		
Sautekh_Zahndrekh_gen6.ogg	SAU3	Nemesor Zahndrekh	Sautekh	gen6	It is a source of consternation that none can match me.	0.0	0.0	4.204	1.49		0		
Sautekh_Zahndrekh_gen7.ogg	SAU3	Nemesor Zahndrekh	Sautekh	gen7	I am eternal. Victory shall be mine.	0.0	0.0	3.801	1.38		0		
Sautekh_Zahndrekh_greet.ogg	SAU3	Nemesor Zahndrekh	Sautekh	greet	I would introduce myself, but you are not worthy of it.	0.0	0.0	3.713	1.48		0		
Sautekh_Zahndrekh_hurry.ogg	SAU3	Nemesor Zahndrekh	Sautekh	hurry	Our time runs short.	0.0	0.0	1.745	1.3		0		
Sautekh_Zahndrekh_intro.ogg	SAU3	Nemesor Zahndrekh	Sautekh	intro	Ready my legions! A glorious victory will be mine!	0.0	0.0	4.812	1.43		0		
Sautekh_Zahndrekh_mirror.ogg	SAU3	Nemesor Zahndrekh	Sautekh	mirror	No tricks or illusions will ever fool me.	0.0	0.0	4.108	1.34		0		
Sautekh_Zahndrekh_threat.ogg	SAU3	Nemesor Zahndrekh	Sautekh	threat	An inferior opponent can be crushed without a moment's thought.	0.0	0.0	4.18	1.39		0		
Sautekh_Zahndrekh_vs_Grukk.ogg	SAU3	Nemesor Zahndrekh	Sautekh	line	Roaring like savages does not bring victory, only crashing defeat.	0.0	0.0	4.975	1.41		0		
Sautekh_Zahndrekh_vs_Tau.ogg	SAU3	Nemesor Zahndrekh	Sautekh	line	Your empire is short-lived, a footnote in the annals of necrontary history.	0.0	0.0	5.276	1.52		0		
Sautekh_Zahndrekh_vs_Tyranid.ogg	SAU3	Nemesor Zahndrekh	Sautekh	line	A foe that evolves its strategy is the most satisfying to defeat.	0.0	0.0	5.244	1.43		0		
Sautekh_Zahndrekh_vs_Ultramarine.ogg	SAU3	Nemesor Zahndrekh	Sautekh	line	An over-reliance on brute force and weaponry will be your downfall.	0.0	0.0	4.985	1.49		0		
Sautekh_Zahndrekh_wp.ogg	SAU3	Nemesor Zahndrekh	Sautekh	wp	It is rare that I encounter one who can defeat me.	0.0	0.0	4.036	1.38		0		
VO_ADS_Aestred Thurga - My soul is consecrated to this relic.ogg	SOR26	Aestred-Thurga	Sororitas	line	My soul is consecrated to this relic.	0.0	0.0	4.045	1.37	My soul is consecrated to this relic	0		
VO_ADS_Amalia Novena - Strike fierce and true For the Emperor.ogg	SOR14	Amalia Novena	Sororitas	line	Strike fierce and true for the Emperor!	0.0	0.0	2.904	1.34	Strike fierce and true For the Emperor	0		
VO_ADS_Arco-flagellant - Frenzied screams.ogg	SOR8	Arco-Flagellant	Sororitas	line	No!	0.0	0.0	2.374	1.3		0		
VO_ADS_Armorium Cherub - Heavy humming.ogg	SOR67	Armorium Cherub	Sororitas	line		0.0	0.0	1.522	1.35	Heavy humming	1	1	echo
VO_ADS_Battle Sister - With unwavering faith.ogg	SOR9	Battle Sister	Sororitas	line	With unwavering faith!	0.0	0.0	2.058	1.35	With unwavering faith	1		
VO_ADS_Battle Sister Gunner - Purge the unclean.ogg	SOR10	Battle Sister Gunner	Sororitas	line	Purge the unclean!	0.0	0.0	2.75	1.36	Purge the unclean	0		
VO_ADS_Battle Sister Superior - Bolters ready Sisters No mercy for the faithless.ogg	SOR25	Sister Superior	Sororitas	line	Balters ready, sisters! No mercy for the Faithless!	0.0	0.0	3.949	1.38	Bolters ready Sisters No mercy for the faithless	0		
VO_ADS_Canoness - We bring righteousness where it is needed most.ogg	SOR27	Canoness	Sororitas	line	We bring righteousness where it is needed most.	0.0	0.0	3.752	1.37	We bring righteousness where it is needed most	0		
VO_ADS_Canoness Adelaide the Serene - All that you are and all you have done revolts me.ogg	SOR72	Adelaide the Serene	Sororitas	line	All that you are and all you have done revolts me.	0.0	0.0	4.297	1.43	All that you are and all you have done revolts me	0		
VO_ADS_Castigator - You will be punished.ogg	SOR73	Castigator	Sororitas	line	You will be punished.	0.0	0.0	2.416	1.32	You will be punished	0		
VO_ADS_Celestian - I have seen worse I have vanquished worse.ogg	SOR15	Celestian	Sororitas	line	I have seen worse. I have vanquished worse.	0.0	0.0	4.004	1.41	I have seen worse I have vanquished worse	0		
VO_ADS_Celestian Sacresant - Purge this place of the unclean and the damned.ogg	SOR31	Celestian Sacresant	Sororitas	line	Purge this place of the unclean and the damned!	0.0	0.0	3.812	1.46	Purge this place of the unclean and the damned	0		
VO_ADS_Celestian Sacresant Aveline_Backup1.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	backup1	You are no one.	0.0	0.0	2.358	1.3		0		
VO_ADS_Celestian Sacresant Aveline_Backup2.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	backup2	Something is amiss.	0.0	0.0	1.313	1.3		0		
VO_ADS_Celestian Sacresant Aveline_Backup3.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	backup3	The time of war is at hand!	0.0	0.0	2.123	1.34		0		
VO_ADS_Celestian Sacresant Aveline_Backup4.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	backup4	God Emperor, make me the instrument of your wrath!	0.0	0.0	4.14	1.4		0		
VO_ADS_Celestian Sacresant Aveline_attack.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	attack	Ha!	0.0	0.0	0.457	1.31		1		
VO_ADS_Celestian Sacresant Aveline_cantDo.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	cantdo	That is not an option!	0.0	0.0	1.412	1.32		0		
VO_ADS_Celestian Sacresant Aveline_concede.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	concede	The God Emperor is with us until the very end!	0.0	0.0	4.358	1.4		0		
VO_ADS_Celestian Sacresant Aveline_death.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	death	Uuuuugh!	0.0	0.0	1.467	3.83		1		
VO_ADS_Celestian Sacresant Aveline_gen1.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	gen1	Let this be a just punishment for your sins.	0.0	0.0	3.769	1.38		0		
VO_ADS_Celestian Sacresant Aveline_gen2.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	gen2	Pussy, no quarter, for they shall give us none!	0.0	0.0	5.063	1.38		0		
VO_ADS_Celestian Sacresant Aveline_gen3.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	gen3	Only the faithless despair, only the righteous shall endure.	0.0	0.0	4.303	1.39		0		
VO_ADS_Celestian Sacresant Aveline_gen4.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	gen4	God Emperor, be with us now!	0.0	0.0	1.935	1.31		0		
VO_ADS_Celestian Sacresant Aveline_gen5.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	gen5	Prepare your soul for judgement!	0.0	0.0	2.86	1.31		0		
VO_ADS_Celestian Sacresant Aveline_gen6.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	gen6	Say, Terabella, watch over us, this battle!	0.0	0.0	2.965	1.41		0		
VO_ADS_Celestian Sacresant Aveline_gen7.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	gen7	There will be no forgiveness for you.	0.0	0.0	2.95	1.32		0		
