file	card_id	name	faction	ev	text	elapsed_s	gt_from_filename	clean_flag
Sautekh_Zahndrekh_attack.ogg	SAU3	Nemesor Zahndrekh	Sautekh	attack	NYEAH!	8.16		
Sautekh_Zahndrekh_cant.ogg	SAU3	Nemesor Zahndrekh	Sautekh	cantdo	I cannot do that!	7.51		
Sautekh_Zahndrekh_concede.ogg	SAU3	Nemesor Zahndrekh	Sautekh	concede	My legions will be reborn and your defeat is inevitable!	7.49		
Sautekh_Zahndrekh_death.ogg	SAU3	Nemesor Zahndrekh	Sautekh	death	YAAAHHHHH!	7.52		
Sautekh_Zahndrekh_gen1.ogg	SAU3	Nemesor Zahndrekh	Sautekh	gen1	A moment's reflection begets my victory.	7.44		
Sautekh_Zahndrekh_gen2.ogg	SAU3	Nemesor Zahndrekh	Sautekh	gen2	My mind has forged strategies since time immemorial.	7.43		
Sautekh_Zahndrekh_gen3.ogg	SAU3	Nemesor Zahndrekh	Sautekh	gen3	Only an immortal mind can see infinite possibilities.	7.44		
Sautekh_Zahndrekh_gen4.ogg	SAU3	Nemesor Zahndrekh	Sautekh	gen4	Your actions are lacking in logic and focus.	7.42		
Sautekh_Zahndrekh_gen5.ogg	SAU3	Nemesor Zahndrekh	Sautekh	gen5	In a tangled web of outcomes, I will find the way.	7.44		
Sautekh_Zahndrekh_gen6.ogg	SAU3	Nemesor Zahndrekh	Sautekh	gen6	It is a source of consternation that none can match me.	7.42		
Sautekh_Zahndrekh_gen7.ogg	SAU3	Nemesor Zahndrekh	Sautekh	gen7	I am eternal. Victory shall be mine.	7.45		
Sautekh_Zahndrekh_greet.ogg	SAU3	Nemesor Zahndrekh	Sautekh	greet	I would introduce myself, but you are not worthy of it.	7.39		
Sautekh_Zahndrekh_hurry.ogg	SAU3	Nemesor Zahndrekh	Sautekh	hurry	Our time runs short.	7.37		
Sautekh_Zahndrekh_intro.ogg	SAU3	Nemesor Zahndrekh	Sautekh	intro	Ready my legions! A glorious victory will be mine!	7.64		
Sautekh_Zahndrekh_mirror.ogg	SAU3	Nemesor Zahndrekh	Sautekh	mirror	No tricks or illusions will ever fool me.	7.96		
Sautekh_Zahndrekh_threat.ogg	SAU3	Nemesor Zahndrekh	Sautekh	threat	An inferior opponent can be crushed without a moment's thought.	7.85		
Sautekh_Zahndrekh_vs_Grukk.ogg	SAU3	Nemesor Zahndrekh	Sautekh	line	Roaring like savages does not bring victory, only crushing defeat.	8.67		
Sautekh_Zahndrekh_vs_Tau.ogg	SAU3	Nemesor Zahndrekh	Sautekh	line	Your empire is short lived. A footnote in the annals of Necrontier history.	8.48		
Sautekh_Zahndrekh_vs_Tyranid.ogg	SAU3	Nemesor Zahndrekh	Sautekh	line	A foe that evolves its strategy is the most satisfying to defeat.	8.48		
Sautekh_Zahndrekh_vs_Ultramarine.ogg	SAU3	Nemesor Zahndrekh	Sautekh	line	An over-reliance on brute force and weaponry will be your downfall.	8.39		
Sautekh_Zahndrekh_wp.ogg	SAU3	Nemesor Zahndrekh	Sautekh	wp	It is rare that I encounter one who can defeat me.	8.22		
VO_ADS_Aestred Thurga - My soul is consecrated to this relic.ogg	SOR26	Aestred-Thurga	Sororitas	line	My soul is consecrated to this relic.	7.97	My soul is consecrated to this relic	
VO_ADS_Amalia Novena - Strike fierce and true For the Emperor.ogg	SOR14	Amalia Novena	Sororitas	line	Strike fierce and true for the Emperor!	8.41	Strike fierce and true For the Emperor	
VO_ADS_Arco-flagellant - Frenzied screams.ogg	SOR8	Arco-Flagellant	Sororitas	line	Yeah!	8.65		generic
VO_ADS_Armorium Cherub - Heavy humming.ogg	SOR67	Armorium Cherub	Sororitas	line		8.32	Heavy humming	halluc
VO_ADS_Battle Sister - With unwavering faith.ogg	SOR9	Battle Sister	Sororitas	line	With unwavering faith!	8.35	With unwavering faith	
VO_ADS_Battle Sister Gunner - Purge the unclean.ogg	SOR10	Battle Sister Gunner	Sororitas	line	Purge the unclean!	8.16	Purge the unclean	
VO_ADS_Battle Sister Superior - Bolters ready Sisters No mercy for the faithless.ogg	SOR25	Sister Superior	Sororitas	line	Balthas ready, sisters! No mercy for the faithless!	7.8	Bolters ready Sisters No mercy for the faithless	
VO_ADS_Canoness - We bring righteousness where it is needed most.ogg	SOR27	Canoness	Sororitas	line	We bring righteousness where it is needed most.	8.44	We bring righteousness where it is needed most	
VO_ADS_Canoness Adelaide the Serene - All that you are and all you have done revolts me.ogg	SOR72	Adelaide the Serene	Sororitas	line	All that you are and all you have done revolts me.	8.18	All that you are and all you have done revolts me	
VO_ADS_Castigator - You will be punished.ogg	SOR73	Castigator	Sororitas	line	You will be punished.	8.18	You will be punished	
VO_ADS_Celestian - I have seen worse I have vanquished worse.ogg	SOR15	Celestian	Sororitas	line	I have seen worse. I have vanquished worse.	8.3	I have seen worse I have vanquished worse	
VO_ADS_Celestian Sacresant - Purge this place of the unclean and the damned.ogg	SOR31	Celestian Sacresant	Sororitas	line	Purge this place of the unclean and the damned!	8.16	Purge this place of the unclean and the damned	
VO_ADS_Celestian Sacresant Aveline_Backup1.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	backup1	You are no one.	7.95		
VO_ADS_Celestian Sacresant Aveline_Backup2.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	backup2	Something is amiss.	7.99		
VO_ADS_Celestian Sacresant Aveline_Backup3.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	backup3	The time of war is at hand.	8.43		
VO_ADS_Celestian Sacresant Aveline_Backup4.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	backup4	God Emperor, make me the instrument of your wrath!	8.29		
VO_ADS_Celestian Sacresant Aveline_attack.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	attack	Ha!	8.34		
VO_ADS_Celestian Sacresant Aveline_cantDo.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	cantdo	That is not an option.	8.32		
VO_ADS_Celestian Sacresant Aveline_concede.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	concede	The God Emperor is with us until the very end!	9.5		
VO_ADS_Celestian Sacresant Aveline_death.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	death	Oh!	9.56		generic
VO_ADS_Celestian Sacresant Aveline_gen1.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	gen1	Let this be a just punishment for your sins.	8.05		
VO_ADS_Celestian Sacresant Aveline_gen2.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	gen2	No mercy! No quarter! For they shall give us none!	8.45		
VO_ADS_Celestian Sacresant Aveline_gen3.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	gen3	Only the faithless despair. Only the righteous shall endure.	8.17		
VO_ADS_Celestian Sacresant Aveline_gen4.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	gen4	God Emperor, be with us now!	8.22		
VO_ADS_Celestian Sacresant Aveline_gen5.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	gen5	Prepare your soul for judgment!	8.64		
VO_ADS_Celestian Sacresant Aveline_gen6.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	gen6	Say, Terrabella, watch over us this battle!	9.12		
VO_ADS_Celestian Sacresant Aveline_gen7.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	gen7	There will be no forgiveness for you.	9.08		
VO_ADS_Celestian Sacresant Aveline_greet.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	greet	I have come to deliver you the God Emperor's judgment.	9.88		
VO_ADS_Celestian Sacresant Aveline_hurry.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	hurry	Time is in short supply.	9.82		
